,iql_2p_12,iql_2p_420,iql_2p_514,iql_2p_5,iql_2p_616,iql_2p_280,iql_2p_510,iql_2p_292,iql_2p_106,iql_2p_204,iql_2p_310,iql_2p_492,iql_2p_3,iql_2p_432,iql_2p_212,iql_2p_101,iql_2p_210,iql_2p_10,iql_2p_7,iql_2p_614,iql_2p_9,iql_2p_602,iql_2p_232,iql_2p_224,iql_2p_604,iql_2p_112,iql_2p_220,iql_2p_11,iql_2p_111,iql_2p_102,iql_2p_214,iql_2p_107,iql_2p_428,iql_2p_208,iql_2p_288,iql_2p_6,iql_2p_110,iql_2p_2,iql_2p_8,iql_2p_105,iql_2p_4,iql_2p_113,iql_2p_518,iql_2p_314,iql_2p_606,iql_2p_612,iql_2p_608,iql_2p_610,iql_2p_228,iql_2p_488,iql_2p_284,iql_2p_484,iql_2p_200,iql_2p_618,iql_2p_424,iql_2p_480,iql_2p_600,iql_2p_206,iql_2p_318,iql_2p_202,iql_2p_1
iql_2p_12,23.7816,2.8632,16.4064,10.8134,20.6438,20.3322,19.6224,15.0924,19.3348,2.3656,18.8892,5.6218,4.1058,18.8018,20.9602,19.4864,13.2058,20.018,14.7932,17.4656,19.1186,14.6678,18.4254,18.7196,18.8822,17.5096,20.069,12.9168,21.0744,18.3896,21.2548,18.4816,20.6618,13.4484,20.2248,15.302,10.5118,20.315,17.7202,18.6802,6.0082,9.6402,17.29,20.1312,10.1858,19.0266,18.7606,3.3466,0.688,20.879,20.8756,19.5846,20.4936,20.7318,18.7884,12.555,14.0874,18.2278,20.7742,18.456,19.5168
iql_2p_420,3.1342,23.1632,3.1168,2.9054,3.44,2.7916,3.101,1.6208,2.8264,0.6514,2.7968,2.688,1.8424,2.8092,2.2124,3.3092,2.8036,3.3528,2.7496,2.903,3.46,3.9666,2.9494,1.8322,3.7278,3.7844,2.9258,1.4802,3.1358,2.7562,3.4316,3.161,3.1126,3.6294,2.8804,4.884,2.759,4.0088,3.145,2.7046,2.59,1.9292,3.529,3.216,2.3172,3.4698,3.7284,2.3302,0.413,1.4536,1.4208,2.6584,3.2146,3.9694,3.6228,3.7812,3.2638,3.077,2.462,2.6838,3.356
iql_2p_514,16.4794,2.8192,23.8466,10.7494,16.8486,16.7712,16.2488,17.0166,18.6506,1.4562,17.0434,7.4166,6.2638,18.3122,16.1372,17.0902,9.1672,17.4752,18.6782,20.2418,16.4206,18.1678,14.3572,17.198,17.1852,18.8818,16.3178,9.4402,16.5446,19.5314,16.8966,18.3282,14.6828,12.7158,15.2846,15.1954,13.4226,19.4882,20.319,16.6684,7.3052,11.1196,20.1082,15.713,10.1882,20.2418,17.4696,7.0984,0.6194,13.1838,15.1416,19.8334,14.6104,19.3304,18.4674,14.736,12.8936,18.7474,12.4978,20.484,16.7102
iql_2p_5,10.4054,2.877,10.7792,23.7976,10.3386,8.146,9.0386,9.4962,10.3234,1.4052,8.2792,12.797,3.1202,11.5224,9.819,8.4358,8.5812,9.955,11.9462,11.0254,10.357,10.6416,11.0564,11.544,7.9468,9.9436,8.1804,5.8684,9.262,10.2764,9.6288,9.7884,9.3524,9.474,9.1728,9.0216,13.9378,11.034,11.2388,11.6424,2.798,8.4896,9.9078,11.1356,16.8576,10.618,9.264,1.457,0.6054,8.376,8.8582,10.2928,10.3342,12.0628,10.8852,7.2144,5.218,11.163,8.023,9.8522,11.2942
iql_2p_616,20.7634,3.1982,17.1266,10.5388,23.8616,22.1728,19.9944,16.3402,18.6946,2.967,19.7122,4.623,3.8218,21.3748,20.6384,19.2624,12.046,22.1572,17.001,20.296,15.6208,18.5332,19.324,19.3648,20.2586,18.6832,20.7356,13.7568,21.6786,20.6266,21.7454,18.7276,20.4264,11.2322,21.6658,13.1122,11.8856,20.3798,20.2658,20.7024,5.7482,9.4612,20.0658,19.5198,9.7978,21.1536,20.3112,3.8574,0.756,21.1336,19.3858,19.871,20.072,22.5106,18.7624,12.904,12.6708,19.6632,20.207,19.9582,16.7638
iql_2p_280,20.2366,2.4384,16.977,8.5522,22.268,23.3774,20.2806,16.9792,19.6214,1.7866,19.9668,4.3474,4.5924,21.7202,18.9622,20.3846,9.868,22.19,17.227,20.2982,17.0998,17.1684,18.7666,19.4866,20.8332,19.28,20.9732,11.779,20.7652,19.7206,21.985,19.5052,20.5238,12.311,21.7158,14.8916,11.6324,20.6944,20.5,19.9504,6.817,9.3176,20.6656,18.5038,9.9186,21.2926,20.126,4.3294,0.3808,20.6864,18.4254,19.7904,19.3,21.6518,18.5484,14.2808,11.6782,20.5724,19.5774,20.2096,17.2608
iql_2p_510,19.4866,2.8268,16.2726,9.1914,19.911,20.1656,23.3822,15.304,17.5816,1.403,20.1028,4.0214,3.5816,18.4918,19.0638,19.0492,9.6638,19.7232,17.5654,18.458,16.5138,16.0598,16.162,18.3612,17.8482,19.1242,20.9534,11.3134,18.2036,18.2264,20.6974,18.08,18.9178,12.6242,18.8752,15.8758,11.385,18.9704,18.334,17.3996,5.864,9.7896,17.5966,20.6414,9.1578,19.25,20.7576,4.3682,0.2128,19.3572,16.6216,18.4066,18.7928,20.8728,16.9286,12.9526,6.7124,17.7748,18.1664,18.6358,18.034
iql_2p_292,14.8508,1.2198,17.2742,9.8812,16.1256,16.6006,15.7598,24.015,17.7792,0.8526,11.9564,6.841,2.8968,18.7066,16.3794,18.219,5.5744,18.9326,20.8212,19.6264,15.9492,21.077,14.5108,17.0814,14.1022,18.6946,14.4086,5.73,13.3396,17.8102,16.5262,15.677,15.8892,13.8078,13.3706,12.2226,13.4378,13.534,19.6244,15.3972,4.032,10.6356,19.5632,13.894,10.8254,20.6132,16.4848,4.2272,0.5246,10.7804,13.313,20.0768,14.5496,18.1612,18.7192,12.8214,8.1266,19.5904,13.1048,19.231,17.7106
iql_2p_106,19.2244,2.2784,18.5274,10.3694,18.5434,19.227,17.8572,17.3492,24.0074,1.0766,16.9236,6.4874,5.0718,19.6256,17.6636,18.2194,9.0998,18.8942,16.3258,18.86,18.7254,14.2622,17.0436,20.9376,19.0748,17.5306,17.6826,10.5484,18.9112,19.5292,18.502,20.3338,19.8508,13.1962,18.5162,15.96,12.5008,19.6454,18.2188,18.7336,7.5236,12.6644,18.4558,16.2634,11.8184,19.024,18.7242,5.2868,0.5774,18.8502,18.6166,18.8414,17.735,20.4712,18.2708,13.576,12.7734,20.4398,18.4572,19.1686,18.0042
iql_2p_204,2.2684,0.5818,1.581,1.4194,2.9206,1.8846,1.5514,1.0022,1.3096,24.0208,1.7644,1.7406,2.5438,1.788,1.341,1.9652,1.2526,2.5414,1.4156,1.9442,2.6444,2.2024,1.758,1.7074,3.0526,2.1864,2.285,0.6924,1.932,2.0088,2.6164,2.2358,2.5144,1.456,2.0516,2.1014,1.1858,1.958,2.3554,1.8486,2.1778,1.3106,2.2442,1.5968,1.744,2.2316,2.186,0.6872,0.1894,1.4952,1.1586,2.3198,2.248,3.253,2.3844,1.7672,2.005,1.8612,2.4734,1.7488,1.8432
