,sad_aux_op_2p_25001,vdn_2p_770,vdn_op_2p_7772,vdn_aux_2p_940,iql_aux_2p_8110,sad_aux_op_2p_25024,sad_2p_2025,iql_2p_510,vdn_aux_2p_971,vdn_2p_7110,iql_op_2p_700,sad_aux_2p_20025,sad_aux_2p_20024,vdn_op_2p_77112,iql_op_2p_710,iql_2p_310,sad_aux_2p_10,vdn_2p_726,sad_op_2p_2524,sad_aux_2p_20007,vdn_aux_2p_9112,sad_aux_op_2p_25025,sad_op_2p_1,iql_aux_2p_804,sad_aux_2p_20001,iql_aux_2p_8141,sad_2p_2024,sad_aux_2p_20000,iql_2p_210,sad_op_2p_2500,vdn_aux_2p_9142,vdn_aux_2p_9141,sad_2p_2019,iql_2p_7,iql_op_2p_6140,sad_2p_1,vdn_2p_720,vdn_2p_7140,sad_aux_op_2p_1,iql_2p_224,sad_aux_2p_1,vdn_2p_725,vdn_2p_711,sad_aux_op_2p_25007,iql_op_2p_6110,sad_op_2p_2519,iql_2p_111,sad_2p_2007,sad_op_2p_2507,vdn_op_2p_729,sad_op_2p_2,vdn_2p_710,vdn_2p_740,vdn_aux_2p_910,vdn_aux_2p_911,vdn_op_2p_7742,sad_op_2p_2506,sad_aux_2p_20018,iql_aux_2p_800,iql_2p_288,sad_aux_op_2p_25019,sad_op_2p_2501,sad_aux_2p_20006,iql_op_2p_610,vdn_op_2p_7741,iql_2p_4,sad_2p_2000,iql_op_2p_620,iql_op_2p_621,iql_op_2p_618,vdn_2p_7141,iql_aux_2p_840,vdn_op_2p_7711,iql_aux_2p_841,vdn_op_2p_77111,iql_aux_2p_8140,sad_aux_op_2p_25000,vdn_aux_2p_970,sad_aux_op_2p_25018,iql_2p_488,sad_aux_op_2p_2,sad_aux_op_2p_25006,vdn_op_2p_727,iql_aux_2p_811,vdn_aux_2p_941,sad_2p_2006,sad_aux_2p_20019,sad_op_2p_2525,sad_2p_2001,iql_2p_424,sad_2p_9,sad_op_2p_2518,sad_2p_2018,vdn_aux_2p_9111,iql_aux_2p_810,iql_aux_2p_8111,iql_op_2p_600,iql_op_2p_612,vdn_op_2p_7712,vdn_op_2p_7771
sad_aux_op_2p_25001,23.4874,2.974,14.357,17.114,16.932,16.814,0.2604,14.3634,16.7694,12.619,15.3472,12.2534,19.6124,13.0518,13.3092,14.4984,11.1834,7.8926,10.9632,12.9098,15.788,16.8098,7.4074,19.5462,15.3674,15.3216,1.2642,16.129,9.6044,8.6244,14.4038,18.1622,7.1424,15.0052,15.9086,10.8146,11.5296,11.4262,17.2766,13.5734,12.6874,3.1358,13.2176,13.3714,14.9628,8.4052,14.1846,0.0862,0.333,20.1102,1.6692,13.5758,11.8246,17.2354,17.4578,0.4474,0.0128,12.4832,16.2002,13.1786,14.7918,12.5554,11.293,6.3542,4.1766,6.039,9.4932,14.3706,14.9782,15.912,1.667,15.6064,10.0786,15.902,13.4358,15.338,15.3454,15.5908,15.5818,13.2396,15.337,14.8302,14.6042,17.0438,15.2992,0.7148,15.3284,13.0706,7.6912,14.4682,1.6158,8.1282,2.759,16.5194,17.616,16.8088,5.8092,15.4828,10.8604,8.141
vdn_2p_770,2.7744,24.0504,5.4952,6.3536,6.207,4.615,0.9494,3.6546,6.0752,3.2034,4.9056,6.8052,3.8066,4.67,3.9522,4.1618,3.907,0.6428,1.9822,7.806,5.9766,4.7596,1.0486,4.5132,7.3294,6.4666,1.1534,8.1152,2.324,1.6892,7.698,4.9324,0.4814,4.756,5.2348,2.2264,1.946,3.6256,3.8844,5.6778,3.9678,1.42,5.3762,5.1356,6.242,2.496,4.5304,0.4232,0.3318,3.7054,0.092,5.5722,3.4564,4.7804,4.5928,0.1706,0.0,5.4886,8.0708,3.429,6.1276,1.6962,4.5316,2.5992,0.8772,3.8994,0.7446,4.364,4.014,4.6178,0.6702,6.785,2.5908,6.5526,4.8766,5.995,5.7244,6.2496,5.127,3.878,6.221,8.4052,4.6384,3.4562,6.3964,0.0194,5.766,3.6864,1.7052,5.3436,0.1862,2.0224,1.678,8.2018,6.7862,7.2942,5.925,7.1868,2.063,0.976
vdn_op_2p_7772,14.7798,5.287,23.9834,21.3458,20.3286,19.6584,0.1628,20.4148,19.3132,21.8122,22.0806,20.1156,18.5482,22.4998,17.1734,19.923,17.513,15.9256,18.7642,20.6448,19.542,19.5422,13.0336,18.5664,19.7924,18.6548,11.3416,21.0964,11.6586,19.447,20.3232,20.2636,12.497,16.9774,21.2136,19.61,13.1444,12.5784,17.757,19.5236,21.8266,3.4296,19.0448,19.9382,21.1256,15.5272,20.8834,7.4164,0.1088,16.1262,0.155,21.6438,19.884,18.995,20.3662,0.2996,0.0,19.382,20.677,21.187,19.712,16.305,18.7876,4.1004,4.8268,7.1982,15.6116,22.5776,18.9304,22.0312,0.6372,19.4982,17.387,20.5046,20.1936,20.2028,20.6348,20.0512,19.6732,21.1726,20.692,19.6528,17.532,19.1862,21.2808,0.2694,19.2868,19.3572,13.6946,19.1726,1.7212,19.707,13.8958,20.7172,18.27,19.8616,13.112,20.9326,10.106,8.8664
vdn_aux_2p_940,17.1044,6.731,20.9424,23.9246,21.2622,21.7322,0.4388,18.421,21.5646,19.1332,20.5146,23.2734,21.5878,19.8424,16.8272,17.131,19.871,13.2106,17.0328,20.8522,21.893,22.0622,13.1576,19.8588,21.2302,22.211,9.895,22.2522,12.6338,17.4102,21.7378,22.788,10.0118,17.946,20.5462,17.0118,11.3334,14.191,19.8746,19.7358,20.9718,2.9274,18.9084,21.8446,20.3508,16.5308,19.0824,5.6406,0.3008,17.07,0.3028,19.9248,18.4438,21.9508,21.6384,0.5436,0.0028,21.1468,22.5048,18.3332,21.6346,15.4986,21.793,5.6568,4.2436,8.4024,14.9704,20.4234,18.185,21.1378,1.0498,20.794,12.8254,22.3574,19.0362,22.9528,21.8186,23.2206,21.8936,18.677,22.8916,22.4806,19.3774,21.9366,22.7312,0.621,20.515,19.7966,14.3308,19.8692,2.2094,18.2472,9.6112,22.7214,19.8774,20.732,12.141,20.4738,14.6754,6.5336
iql_aux_2p_8110,17.1674,5.6616,20.2782,21.2876,23.442,21.7494,0.1394,16.8044,21.989,18.4498,19.0242,20.856,21.6582,19.137,15.2332,16.8816,18.244,14.935,15.9986,21.6396,21.638,21.2038,12.1818,18.754,21.6106,21.2448,11.1844,22.144,10.9966,16.2948,21.928,21.9316,10.4296,17.6418,19.0578,14.6364,13.2828,15.3628,18.3206,19.1294,19.76,4.3994,19.3296,21.3586,19.444,17.081,17.5864,7.1084,0.6894,16.7736,0.4784,18.958,17.1422,20.0756,22.6284,0.4148,0.0018,21.0496,22.3864,17.7244,22.0208,15.7174,19.8668,6.7304,6.3798,6.027,14.0666,18.9444,17.1112,20.1864,1.1052,21.9022,10.6928,22.1164,19.3464,20.3874,21.441,21.6588,21.9372,17.2382,22.4144,21.8774,18.9934,20.2254,21.8942,0.9318,21.228,18.5352,15.7592,18.9734,1.858,17.089,11.016,21.822,21.0858,21.5442,11.6662,19.529,15.5332,7.754
sad_aux_op_2p_25024,17.2944,4.7516,19.3252,21.7376,21.7714,24.122,0.129,15.8816,21.6902,17.0386,18.2328,22.0848,23.3848,18.3812,14.9744,14.8326,18.428,11.6448,15.5166,21.4168,21.2594,21.9148,10.0424,18.7104,21.8222,20.86,8.785,21.7102,10.5484,15.1676,22.742,22.8582,6.589,18.3216,19.3232,14.2252,11.4376,15.2314,15.386,19.691,19.1322,2.426,18.551,22.581,19.1512,17.2206,16.7932,4.9062,0.3468,16.896,0.2002,18.674,15.4892,21.2322,21.7248,0.115,0.0012,21.5762,21.963,17.0942,22.7138,12.678,21.2848,5.5136,3.3036,5.3922,9.2718,18.6078,15.4712,20.32,1.3504,21.4596,9.463,21.888,18.5166,21.251,22.4668,21.6972,22.3386,17.2062,22.5916,21.7954,20.5476,20.1828,21.8716,0.3506,21.2548,20.4166,15.7178,19.0138,1.028,16.0874,7.8322,21.5874,21.151,21.9802,10.2154,19.5656,14.207,4.4432
sad_2p_2025,0.274,0.9436,0.1692,0.4504,0.173,0.1588,24.0828,0.0868,0.178,0.0424,0.1152,0.236,0.2578,0.097,0.5142,0.1686,0.1656,0.0202,0.073,0.1158,0.2958,0.4832,0.0304,0.191,0.1218,0.3596,0.0346,0.1488,0.1798,0.027,0.1594,0.2808,0.0228,0.1152,0.1742,0.0294,0.0504,0.2436,0.1294,0.3436,0.2002,0.2872,0.0492,0.0682,0.2054,0.2248,0.1958,0.009,0.0164,0.1684,0.005,0.1272,0.1356,0.2052,0.1892,0.0546,0.0,0.2706,0.3778,0.2298,0.1698,0.0532,0.1806,0.0516,1.025,0.0944,0.0276,0.1026,0.1538,0.4032,0.2074,0.151,0.0158,0.25,0.118,0.4062,0.2368,0.6262,0.3384,0.1256,0.1632,0.1344,0.42,0.3262,0.2138,0.0,0.0912,0.4972,0.0584,0.243,0.1492,0.019,0.4342,0.2404,0.3482,0.2022,0.2226,0.6752,0.283,0.3442
iql_2p_510,14.4916,3.2088,20.3206,18.4972,16.8306,15.6814,0.0792,23.3824,16.6762,19.6442,19.7316,16.0152,15.615,20.3676,14.8702,20.1028,16.9294,13.6242,15.5028,17.1186,18.518,15.4322,18.468,18.1084,17.308,15.9204,4.3378,19.012,9.6638,18.359,16.5142,16.4668,16.7202,17.5654,18.5026,17.8706,13.2424,11.6788,15.2588,18.3614,17.8014,3.3224,17.975,17.9312,19.146,14.4308,18.2036,0.7604,0.209,16.1844,10.5044,19.7858,16.5388,17.383,17.6674,0.3312,0.0102,16.6846,17.4402,18.8752,16.9112,20.0312,14.436,4.3682,3.9576,5.8646,19.1266,20.8474,20.2388,20.8728,0.3292,16.8196,17.088,17.925,18.5134,16.6664,18.8542,15.9014,18.049,19.3572,16.1516,16.188,15.7772,17.545,18.7086,0.5426,16.6552,16.7186,13.983,16.9286,1.3402,17.964,4.9972,17.8252,16.8446,17.1104,6.7124,19.25,12.5028,8.59
vdn_aux_2p_971,17.0506,6.2872,19.1944,21.6456,22.0476,21.6388,0.1496,16.7134,24.2982,16.361,18.6706,20.8686,21.916,17.938,16.9598,15.7534,20.3516,11.906,17.2034,21.898,22.5486,23.2722,9.8182,18.6062,20.7792,21.8722,12.191,21.9106,10.6374,12.4334,21.5504,22.044,5.7148,20.1042,20.0924,13.4828,14.2958,16.9246,19.4148,19.3374,19.1878,2.6848,18.5006,20.5998,19.5078,15.8842,16.8432,4.5228,0.5362,18.2938,0.581,18.96,16.8116,21.4872,21.6656,0.7626,0.015,21.6108,21.6644,17.3422,20.9544,12.021,20.709,6.9472,4.1642,6.2998,9.9796,18.7306,17.0502,19.6874,1.6296,22.528,9.391,22.4782,17.783,21.7232,20.4566,22.6458,21.8152,16.4252,23.2422,20.8352,20.5272,21.3216,21.5572,1.402,21.909,19.5696,15.3872,20.2802,1.544,13.5244,6.8778,21.7754,21.2758,21.6926,11.0314,20.1166,17.0874,5.928
vdn_2p_7110,12.7552,3.1278,21.6936,19.4026,18.8484,17.4968,0.0626,19.8404,17.055,23.747,20.461,18.7678,16.364,21.62,14.6664,20.0312,16.277,14.2136,19.8686,20.1484,17.3852,17.4064,12.2894,15.9144,19.4166,16.4272,6.3876,19.7278,7.9174,21.2648,19.605,17.7748,13.738,14.2224,19.2036,17.505,9.4208,12.6962,14.8828,15.2816,21.2306,2.2046,18.8154,17.9204,20.1094,17.1212,21.3582,8.1332,0.0236,14.1192,0.1772,21.4176,17.4464,16.043,19.3504,0.268,0.0006,18.233,20.737,19.3646,17.924,18.2096,17.1548,2.445,3.9318,5.736,17.2866,21.5662,18.0528,20.2154,0.2776,17.159,17.4214,18.0588,20.1908,17.0364,19.1408,17.8932,18.0316,17.3642,17.8686,18.8322,17.0498,16.9126,18.506,0.2156,18.4152,19.0194,14.9296,15.6268,1.0316,20.2766,7.7098,19.0158,17.428,17.826,9.6494,20.0022,10.5326,5.4484
