,iql_op_2p_600,iql_op_2p_618,iql_aux_2p_804,sad_aux_op_2p_25018,sad_2p_9,iql_2p_7,vdn_aux_2p_971,iql_op_2p_6110,iql_aux_2p_800,sad_aux_op_2p_25000,vdn_op_2p_77111,sad_aux_op_2p_1,vdn_aux_2p_940,sad_op_2p_2525,iql_op_2p_610,vdn_2p_7110,vdn_op_2p_7711,iql_2p_424,sad_op_2p_2518,vdn_2p_770,iql_aux_2p_8110,iql_op_2p_621,sad_aux_2p_10,sad_aux_2p_20006,vdn_op_2p_7742,sad_aux_op_2p_25025,sad_2p_2007,sad_op_2p_2500,iql_aux_2p_810,iql_2p_210,sad_2p_1,vdn_2p_740,iql_aux_2p_8111,sad_op_2p_2519,iql_op_2p_620,sad_aux_2p_20007,iql_2p_224,sad_aux_op_2p_25024,sad_2p_2006,sad_op_2p_2501,vdn_op_2p_7772,sad_aux_2p_1,iql_aux_2p_811,vdn_2p_726,sad_op_2p_1,vdn_aux_2p_9112,sad_aux_op_2p_25019,vdn_op_2p_729,vdn_aux_2p_970,sad_aux_op_2p_25001,vdn_aux_2p_9141,sad_op_2p_2524,vdn_aux_2p_941,vdn_op_2p_7712,vdn_op_2p_727,vdn_2p_7140,vdn_2p_711,vdn_op_2p_7741,iql_2p_510,iql_aux_2p_8140,vdn_2p_720,sad_2p_2018,iql_aux_2p_840,sad_aux_2p_20019,sad_op_2p_2507,sad_2p_2000,sad_aux_2p_20001,iql_2p_111,sad_2p_2025,sad_aux_op_2p_25007,sad_aux_2p_20024,iql_2p_4,iql_op_2p_6140,vdn_aux_2p_910,iql_2p_288,sad_aux_op_2p_2,vdn_op_2p_77112,sad_op_2p_2,sad_2p_2024,sad_aux_op_2p_25006,sad_aux_2p_20025,vdn_aux_2p_9111,vdn_aux_2p_911,vdn_aux_2p_9142,iql_op_2p_700,iql_2p_488,iql_op_2p_612,iql_2p_310,vdn_2p_7141,vdn_2p_710,vdn_op_2p_7771,iql_aux_2p_8141,iql_aux_2p_841,sad_2p_2019,sad_aux_2p_20018,sad_op_2p_2506,vdn_2p_725,sad_2p_2001,iql_op_2p_710,sad_aux_2p_20000
iql_op_2p_600,23.795,10.524,6.914333333333333,10.752,0.7366666666666667,7.927333333333333,10.260666666666667,12.204,12.666333333333334,9.790666666666667,10.229666666666667,5.859666666666667,12.315666666666667,6.865333333333333,5.776,9.630666666666666,9.458333333333334,9.898666666666667,4.676,6.069333333333334,12.148333333333333,6.2956666666666665,9.456333333333333,8.258,0.22766666666666666,9.85,1.1343333333333334,4.723,11.156666666666666,11.049333333333333,7.475666666666666,9.007,11.791666666666666,3.533,12.312,10.319333333333333,10.256666666666666,10.235,0.26866666666666666,3.7813333333333334,12.815,10.898333333333333,12.445333333333334,5.927333333333333,2.6743333333333332,10.752666666666666,9.743,5.671333333333333,11.172333333333333,5.944333333333334,11.478,8.161666666666667,12.201,4.968333333333334,7.535,6.02,11.065,0.42633333333333334,6.604,12.123,3.902,3.346,11.687,9.756333333333334,0.018666666666666668,1.3646666666666667,8.293666666666667,11.791333333333334,0.187,11.032333333333334,11.526333333333334,6.103,13.392333333333333,11.543,12.889,12.261666666666667,11.256,0.05333333333333334,2.5443333333333333,12.174,10.441333333333333,11.707333333333333,12.414333333333333,10.658333333333333,13.532,11.328666666666667,11.273666666666667,7.887333333333333,0.9183333333333333,11.767,1.9146666666666667,12.164666666666667,11.216,0.387,9.288,0.007,1.0093333333333334,2.904333333333333,9.015333333333333,10.727666666666666
iql_op_2p_618,10.572333333333333,23.787666666666667,19.269333333333332,19.965666666666667,2.017,17.642,19.717333333333332,20.859,20.427,20.100666666666665,19.858666666666668,17.845333333333333,21.199666666666666,18.558,5.129333333333333,19.848,16.684,19.563,16.660333333333334,4.786333333333333,20.10033333333333,20.911666666666665,17.840666666666667,18.673333333333332,0.576,19.920666666666666,1.252,16.953,18.471333333333334,11.884,16.899333333333335,19.707,20.233,14.072333333333333,22.1,19.921666666666667,20.572666666666667,20.48966666666667,0.42833333333333334,18.986,21.933666666666667,21.97,19.425333333333334,14.665333333333333,14.362666666666666,19.932666666666666,19.320666666666668,17.474666666666668,19.813333333333333,16.105,20.319,20.612,21.183333333333334,13.451666666666666,18.023666666666667,15.095666666666666,19.206333333333333,4.844,20.837,20.355333333333334,14.921666666666667,9.982666666666667,19.76033333333333,18.956333333333333,0.132,16.114,19.333,21.145666666666667,0.38033333333333336,20.081,19.171333333333333,7.405,21.863666666666667,19.154666666666667,20.844333333333335,20.735,21.394666666666666,4.974333333333333,5.482,19.368666666666666,20.123333333333335,20.703,19.958,20.330333333333332,22.262333333333334,21.049333333333333,21.051,19.418666666666667,0.9536666666666667,21.216333333333335,9.280333333333333,18.897666666666666,20.74,13.263666666666667,18.980333333333334,0.009,3.403,12.719333333333333,18.467666666666666,21.109666666666666
iql_aux_2p_804,6.266,19.213666666666665,23.969666666666665,18.827666666666666,2.247333333333333,16.942333333333334,18.796666666666667,18.168666666666667,18.842,19.785,16.904,18.97833333333333,19.858,16.996333333333332,6.781666666666666,15.418666666666667,12.181666666666667,17.426666666666666,14.673666666666668,4.141666666666667,18.848,18.747,15.135,17.463666666666665,0.5376666666666666,17.796333333333333,0.5406666666666666,13.811666666666667,19.05666666666667,10.41,13.272666666666666,15.973,19.47833333333333,14.733,17.93166666666667,18.262333333333334,17.563666666666666,18.651333333333334,0.6916666666666667,16.198,18.653333333333332,17.461333333333332,18.564333333333334,11.964333333333334,12.823,18.390333333333334,19.483333333333334,18.256666666666668,18.850666666666665,19.435333333333332,19.045333333333332,11.827333333333334,19.316666666666666,13.138333333333334,17.367,14.341,16.498666666666665,6.149333333333334,17.849666666666668,18.226333333333333,14.099,5.791,19.065666666666665,18.422333333333334,0.573,15.791666666666666,19.209333333333333,16.698,0.20833333333333334,17.372666666666667,18.819666666666667,6.848,17.813,18.952333333333332,15.551333333333334,17.883333333333333,17.572333333333333,5.0713333333333335,2.671333333333333,18.677,17.047,18.461333333333332,18.964333333333332,18.595333333333333,17.967333333333332,16.89,18.247333333333334,17.368666666666666,1.821,17.626333333333335,9.166,17.445666666666668,18.983333333333334,12.311333333333334,16.437,0.006333333333333333,4.702,12.762666666666666,15.370333333333333,19.049666666666667
sad_aux_op_2p_25018,11.059,19.800666666666668,18.859666666666666,23.758333333333333,1.3656666666666666,18.815,21.867333333333335,20.135,22.134,21.838,20.624333333333333,17.435333333333332,22.085,17.401666666666667,4.218333333333334,17.143333333333334,10.003333333333334,19.45,15.953333333333333,5.549,21.721333333333334,16.440333333333335,21.974,20.858666666666668,0.12033333333333333,20.893,6.692666666666667,15.096333333333334,21.262,9.877333333333333,14.914333333333333,15.851333333333333,21.541,16.060333333333332,19.028333333333332,21.373666666666665,20.629,22.307666666666666,0.21633333333333332,15.298,19.404,19.143333333333334,20.454666666666668,13.600666666666667,14.885,22.433,22.715333333333334,16.681,21.925666666666668,15.87,22.243666666666666,13.548333333333334,21.660666666666668,16.001666666666665,20.211666666666666,16.584333333333333,20.967666666666666,3.3056666666666668,17.685333333333332,21.254666666666665,12.195,5.964,21.655333333333335,21.435333333333332,0.08166666666666667,13.538666666666666,21.970333333333333,16.945333333333334,0.2946666666666667,23.091666666666665,22.360333333333333,5.836333333333333,18.879333333333335,21.720666666666666,18.264,23.030333333333335,19.001,0.2826666666666667,12.694666666666667,21.788666666666668,21.861333333333334,21.292666666666666,22.042,21.731333333333332,18.449,18.118333333333332,18.829666666666668,15.904333333333334,0.8006666666666666,19.08,5.321666666666666,22.065333333333335,21.73966666666667,5.097666666666667,22.466666666666665,0.0,3.3266666666666667,15.254333333333333,13.504666666666667,22.182666666666666
sad_2p_9,0.9403333333333334,2.469,2.999,1.652,23.948,1.474,1.909,2.723,1.746,1.2073333333333334,1.8683333333333334,1.5626666666666666,2.530666666666667,1.4826666666666666,1.3893333333333333,0.9696666666666667,0.6463333333333333,2.3546666666666667,0.191,0.22333333333333333,2.0316666666666667,1.7366666666666666,0.9213333333333333,0.7743333333333333,0.0,1.5066666666666666,0.007,0.19833333333333333,2.5243333333333333,0.9246666666666666,0.535,0.6466666666666666,1.5526666666666666,0.36433333333333334,2.5526666666666666,1.1796666666666666,1.078,1.1173333333333333,0.02666666666666667,0.4553333333333333,1.6833333333333333,0.7213333333333334,1.9646666666666666,0.069,0.405,1.526,1.728,1.825,1.5426666666666666,1.791,1.3546666666666667,0.801,1.057,1.2956666666666667,1.329,0.748,2.534,0.25133333333333335,1.504,1.87,0.2886666666666667,0.069,1.661,1.8363333333333334,0.0033333333333333335,0.36233333333333334,1.1846666666666668,1.02,0.17,0.5996666666666667,2.276,8.059666666666667,1.7176666666666667,1.9906666666666666,1.2026666666666668,1.2856666666666667,0.9976666666666667,0.06733333333333333,0.021333333333333333,1.406,1.165,1.5246666666666666,2.0763333333333334,1.8156666666666668,2.0446666666666666,1.0806666666666667,2.7453333333333334,1.859,0.7806666666666666,1.096,0.398,1.8783333333333334,2.1803333333333335,0.204,0.7943333333333333,0.0,0.16366666666666665,0.105,1.735,1.7233333333333334
iql_2p_7,7.319333333333334,17.317,16.523,18.565,1.286,23.917,20.103666666666665,19.442666666666668,18.092666666666666,15.245666666666667,15.776,16.118,17.423333333333332,17.371666666666666,4.05,12.260333333333334,12.351333333333333,18.046333333333333,10.352,4.367,17.070333333333334,18.279333333333334,18.244666666666667,16.425,0.432,19.166,6.221666666666667,10.019,18.125333333333334,6.399666666666667,10.672,15.794666666666666,18.620333333333335,16.016666666666666,17.203,16.268,18.411333333333335,17.992333333333335,0.319,9.512666666666666,16.702666666666666,16.287333333333333,17.402333333333335,7.776,8.35,18.011333333333333,16.473,15.163666666666666,18.132,15.374,17.978,13.600333333333333,16.736333333333334,17.22533333333333,19.704,17.566666666666666,16.463,2.2783333333333333,17.012666666666668,17.192,17.921,8.067,18.291666666666668,18.158333333333335,0.13666666666666666,8.262666666666666,16.944,14.705333333333334,0.11433333333333333,17.304,17.394,4.378666666666667,15.825666666666667,18.245,15.475666666666667,18.662,15.586333333333334,0.088,14.885,15.989333333333333,17.036333333333335,18.888666666666666,16.812,18.739333333333335,16.316333333333333,15.269,21.294333333333334,15.365666666666666,0.5863333333333334,15.894,6.461,16.496666666666666,18.928,7.143666666666666,18.622333333333334,0.011333333333333334,2.437333333333333,17.958333333333332,19.732,17.654
vdn_aux_2p_971,10.999666666666666,19.588666666666665,18.712333333333333,21.791,1.5283333333333333,20.071666666666665,24.319333333333333,19.400333333333332,21.679666666666666,20.457333333333334,17.709333333333333,19.449333333333332,21.667333333333332,19.484333333333332,7.140666666666666,16.291333333333334,9.241333333333333,20.269333333333332,13.593,6.183666666666666,22.065666666666665,16.909666666666666,20.493666666666666,20.824666666666666,0.7566666666666667,23.335333333333335,4.549333333333333,12.421333333333333,21.332,10.785666666666666,13.410333333333334,16.682666666666666,21.695,16.101666666666667,18.573333333333334,21.951,19.206333333333333,21.740666666666666,1.4236666666666666,12.089333333333334,19.201333333333334,19.021,21.290333333333333,12.029,9.989333333333333,22.508,21.027333333333335,18.378,22.642,17.113666666666667,22.060333333333332,17.075,21.523333333333333,17.058,20.626,16.947,18.376333333333335,4.004666666666667,16.745333333333335,21.701333333333334,14.375666666666667,6.777333333333333,22.540666666666667,21.987333333333332,0.5203333333333333,9.995666666666667,20.805333333333333,16.988333333333333,0.14266666666666666,20.695666666666668,21.907,6.275333333333333,19.892,21.53,17.416666666666668,23.199333333333332,18.004666666666665,0.5323333333333333,12.258666666666667,20.807333333333332,20.947333333333333,21.795666666666666,21.696,21.559,18.486333333333334,16.491333333333333,19.963333333333335,15.618,1.639,18.936,5.886666666666667,21.843,22.548,5.662333333333334,21.574666666666666,0.016,2.639666666666667,15.486333333333333,16.810666666666666,21.82133333333333
iql_op_2p_6110,12.331666666666667,21.021,18.22533333333333,20.25733333333333,2.603666666666667,19.819,19.754333333333335,23.739333333333335,20.246,20.105666666666668,20.336666666666666,17.668,20.713,18.381,5.092333333333333,20.045666666666666,15.607333333333333,20.637333333333334,18.980666666666668,6.176333333333333,19.587,19.372333333333334,18.598666666666666,18.17,0.587,19.22833333333333,9.782666666666668,18.788666666666668,18.399333333333335,10.535333333333334,18.164,20.304666666666666,19.197666666666667,17.39666666666667,21.234,19.955333333333332,19.3,19.248333333333335,0.6213333333333333,15.297,21.231,20.356,18.964666666666666,14.908,15.099333333333334,19.991333333333333,19.500333333333334,16.401333333333334,19.913666666666668,14.904,19.855666666666668,18.738,20.751666666666665,14.276666666666667,19.549,15.287333333333333,19.984666666666666,3.5576666666666665,19.220333333333333,19.596666666666668,14.178666666666667,9.147333333333334,18.800333333333334,18.69,0.241,15.856666666666667,20.13,20.379666666666665,0.20433333333333334,19.916,18.713333333333335,8.236333333333333,21.196,19.137333333333334,21.002,20.397333333333332,21.757666666666665,0.22,12.806666666666667,19.116666666666667,19.286666666666665,20.252666666666666,20.019333333333332,20.349333333333334,21.403666666666666,18.389666666666667,21.811,19.267333333333333,0.7756666666666666,20.541666666666668,7.395333333333333,18.874666666666666,20.231666666666666,9.312333333333333,19.248,0.005666666666666667,3.070333333333333,16.646333333333335,18.177333333333333,20.479333333333333
iql_aux_2p_800,12.695666666666666,20.664666666666665,18.767666666666667,22.041666666666668,1.6846666666666668,18.282666666666668,21.59,19.988333333333333,24.046666666666667,21.598666666666666,19.263,18.469333333333335,22.565666666666665,19.143333333333334,6.978,20.18,10.151333333333334,18.894,16.245666666666665,7.661333333333333,22.298,17.295,18.665333333333333,21.934666666666665,0.9963333333333333,21.863333333333333,5.794666666666667,16.503,20.541666666666668,13.751,15.275,16.727666666666668,21.153333333333332,15.804,19.652666666666665,21.419666666666668,18.914,21.947666666666667,1.2556666666666667,15.695333333333334,20.309333333333335,20.58,21.198666666666668,13.197,11.924666666666667,20.817,21.803333333333335,16.756666666666668,23.084666666666667,16.491333333333333,22.305666666666667,16.435666666666666,21.983333333333334,15.317666666666666,19.424333333333333,13.731,18.637666666666668,5.892,17.232333333333333,21.648666666666667,12.590333333333334,8.466666666666667,21.313666666666666,20.611333333333334,0.681,12.478,21.72,18.712,0.422,21.519333333333332,21.818666666666665,6.213333333333333,19.712666666666667,21.121333333333332,17.997666666666667,22.583666666666666,19.889,0.6743333333333333,10.793666666666667,22.192,22.159333333333333,21.919,22.572666666666667,22.750333333333334,19.903666666666666,17.665333333333333,20.001333333333335,17.31,1.082,19.898,6.206666666666667,22.408333333333335,21.273333333333333,7.317,19.943,0.023666666666666666,3.341,14.313666666666666,16.203,21.648333333333333
sad_aux_op_2p_25000,9.593333333333334,20.135,19.828,22.094666666666665,1.1796666666666666,16.712333333333333,20.407666666666668,19.903666666666666,21.557333333333332,23.400666666666666,19.812666666666665,16.803,21.893666666666668,20.659333333333333,4.245,18.937666666666665,13.404,18.500333333333334,20.458,5.0953333333333335,21.562,17.549,18.342333333333332,20.957666666666668,0.149,19.884333333333334,7.426333333333333,19.881,21.434333333333335,8.873666666666667,17.709,17.511666666666667,21.921333333333333,19.891,19.629,21.967666666666666,19.02,22.490666666666666,0.419,17.258333333333333,20.51,19.852333333333334,19.925,14.355,14.754,21.385666666666665,22.838666666666665,15.629333333333333,21.324,15.664,21.596,15.093333333333334,22.464666666666666,11.990666666666666,20.117,14.233333333333333,19.545333333333332,5.032,18.656333333333333,20.951333333333334,10.787333333333333,10.318333333333333,21.059,21.481333333333332,0.23666666666666666,16.972666666666665,22.284,18.389666666666667,0.20133333333333334,22.55666666666667,21.257,6.189,18.332666666666668,21.234666666666666,17.428333333333335,21.398333333333333,20.147666666666666,0.30733333333333335,7.575333333333333,21.791666666666668,21.895666666666667,21.427666666666667,21.836666666666666,21.605,18.576333333333334,17.805666666666667,19.835333333333335,17.953333333333333,0.9456666666666667,20.520666666666667,4.850666666666666,20.166333333333334,21.654,12.950666666666667,21.46,0.0,3.266,17.616,13.029333333333334,22.602333333333334
