,iql_2p_801,iql_2p_12,iql_2p_420,iql_2p_514,iql_2p_5,iql_2p_616,iql_2p_280,iql_2p_510,iql_2p_292,iql_2p_106,iql_2p_800,iql_2p_802,iql_2p_204,iql_2p_310,vdn_2p_726,iql_2p_492,iql_2p_3,vdn_2p_730,iql_2p_803,iql_2p_432,iql_2p_212,iql_2p_101,iql_2p_804,iql_2p_210,iql_2p_700,iql_2p_10,vdn_2p_724,vdn_2p_727,iql_2p_7,iql_2p_614,iql_2p_9,vdn_2p_720,iql_2p_602,iql_2p_232,iql_2p_224,vdn_2p_725,iql_2p_604,iql_2p_112,iql_2p_220,iql_2p_11,iql_2p_111,iql_2p_706,iql_2p_102,iql_2p_214,iql_2p_107,iql_2p_428,iql_2p_208,iql_2p_710,iql_2p_288,iql_2p_6,iql_2p_110,vdn_2p_721,iql_2p_2,iql_2p_8,iql_2p_105,iql_2p_4,iql_2p_113,iql_2p_518,iql_2p_314,iql_2p_805,iql_2p_606,vdn_2p_729,iql_2p_612,iql_2p_608,iql_2p_610,iql_2p_228,iql_2p_488,iql_2p_284,iql_2p_484,iql_2p_200,vdn_2p_728,iql_2p_618,vdn_2p_722,iql_2p_424,iql_2p_480,iql_2p_600,vdn_2p_723,iql_2p_206,iql_2p_318,iql_2p_202,iql_2p_1
iql_2p_801,24.007,17.6664,2.4306,19.0834,14.4726,18.7024,18.5594,16.4712,20.5534,19.8366,21.9232,23.2446,1.3708,15.4296,10.5026,10.1904,5.0612,14.528,22.2682,20.9124,17.236,18.7336,19.0954,11.0602,18.91,20.4884,6.9118,20.7128,19.7912,20.0,18.1082,14.0906,19.3356,16.6488,19.403,3.4044,17.8444,19.2666,16.295,10.5572,16.3382,19.068,19.1312,19.318,18.7854,18.8042,15.1518,16.8222,16.7216,16.0996,15.3728,3.0146,18.2814,20.2232,18.5724,5.2844,13.5682,19.8684,15.5244,21.3328,14.7286,16.9748,20.355,17.5002,6.8138,1.5248,17.1084,16.7598,19.098,17.5602,16.3256,19.8294,16.7586,19.4442,13.2354,11.0332,17.69,20.575,17.7226,19.8528,18.8356
iql_2p_12,17.8384,23.7816,2.8632,16.4064,10.8134,20.6438,20.3322,19.6224,15.0924,19.3348,20.0756,20.0932,2.3656,18.8892,14.7818,5.6218,4.1058,17.3292,19.1608,18.8022,20.9602,19.4828,18.2876,13.2058,20.9344,20.018,8.6086,16.5684,14.7932,17.4656,19.1186,10.483,14.6678,18.4254,18.7196,3.2552,18.8822,17.5096,20.069,12.9168,21.0744,16.093,18.3896,21.2548,18.4816,20.6628,13.4484,13.687,20.2248,15.302,10.5118,0.9474,20.315,17.7202,18.6802,6.005,9.6402,17.29,20.1312,20.772,10.1858,16.304,19.0266,18.7606,3.3466,0.688,20.879,20.8752,19.5834,20.4936,17.9458,20.7318,20.379,18.7884,12.555,14.0868,21.4612,18.2278,20.7742,18.456,19.5168
iql_2p_420,2.6656,3.1336,23.1632,3.1142,2.9054,3.44,2.7916,3.101,1.6208,2.8264,3.0306,3.3838,0.6514,2.7968,0.4144,2.688,1.8424,0.8638,2.8688,2.811,2.2124,3.3092,3.4592,2.8036,3.5868,3.3528,1.1754,2.1506,2.7514,2.9018,3.462,1.421,3.9666,2.9506,1.8322,0.7392,3.7278,3.7844,2.9258,1.4802,3.1336,3.51,2.7562,3.4296,3.161,3.1122,3.6294,3.8978,2.8804,4.884,2.759,0.5472,4.0088,3.145,2.7046,2.588,1.9292,3.529,3.216,3.372,2.3172,2.7974,3.4698,3.7284,2.3278,0.413,1.4536,1.4208,2.6578,3.2146,2.8508,3.9694,2.6688,3.6228,3.7812,3.2638,2.2472,3.0758,2.462,2.6836,3.356
iql_2p_514,19.2738,16.4794,2.8192,23.8466,10.7488,16.8486,16.7712,16.2488,17.0166,18.6506,19.4294,19.2686,1.4562,17.0434,9.8174,7.4166,6.2638,15.5798,20.1006,18.3122,16.1372,17.0898,17.3464,9.1672,17.3466,17.4752,11.1534,19.7248,18.6782,20.242,16.4206,13.2104,18.1678,14.357,17.1982,2.8544,17.1852,18.8818,16.3178,9.4402,16.5446,18.9472,19.5314,16.8964,18.3282,14.6828,12.7158,17.6602,15.2846,15.1954,13.4232,1.9156,19.4882,20.319,16.6684,7.3052,11.1196,20.1082,15.7132,19.6364,10.1882,16.046,20.2418,17.4696,7.0984,0.6194,13.1838,15.1416,19.8334,14.6106,14.5102,19.3304,16.3836,18.4674,14.736,12.8936,18.5482,18.7474,12.4978,20.4838,16.7102
iql_2p_5,13.9502,10.4054,2.877,10.7792,23.7976,10.3386,8.146,9.035,9.4998,10.3234,14.6878,13.4354,1.4052,8.2798,5.0622,12.7976,3.1202,8.0346,14.8226,11.5224,9.823,8.4358,12.7654,8.5812,10.2608,9.955,4.7858,10.2132,11.95,11.0254,10.357,7.8326,10.6416,11.0564,11.5394,1.3304,7.9468,9.9436,8.1804,5.8684,9.262,9.8872,10.2764,9.6288,9.7884,9.3568,9.4766,8.9266,9.1728,9.0186,13.9378,3.2684,11.034,11.2388,11.6424,2.798,8.486,9.9078,11.1356,14.727,16.8576,12.7376,10.618,9.264,1.457,0.6054,8.376,8.8582,10.293,10.3342,9.0044,12.0628,9.9036,10.8852,7.2144,5.218,10.064,11.163,8.023,9.8522,11.2942
iql_2p_616,18.9666,20.7634,3.1982,17.1266,10.5388,23.8616,22.1728,19.9944,16.3402,18.6946,19.8868,19.3354,2.967,19.7122,14.1094,4.623,3.8218,20.5632,19.1856,21.375,20.6384,19.2624,18.221,12.046,23.396,22.1572,11.8716,15.111,17.001,20.2956,15.6208,12.39,18.5332,19.324,19.3648,1.933,20.2586,18.6832,20.7356,13.7568,21.6786,19.0794,20.6266,21.7454,18.7276,20.4264,11.236,20.5698,21.6658,13.108,11.8852,0.8654,20.3798,20.2658,20.7024,5.7482,9.4612,20.0658,19.5198,20.217,9.8018,15.1932,21.1536,20.3112,3.8574,0.756,21.1336,19.3858,19.871,20.072,15.4532,22.5106,21.4752,18.7624,12.904,12.6708,21.1258,19.6632,20.207,19.9582,16.7638
iql_2p_280,19.0618,20.2366,2.4384,16.977,8.5522,22.268,23.3774,20.2806,16.9792,19.6214,19.691,19.2766,1.7866,19.9668,18.1,4.3474,4.5924,21.1638,17.9274,21.7202,18.9622,20.3846,17.2982,9.8684,22.1082,22.19,13.2732,16.925,17.227,20.2982,17.0998,14.7256,17.1684,18.7666,19.4866,3.3162,20.8334,19.28,20.9732,11.779,20.7652,18.461,19.7206,21.985,19.5052,20.5238,12.311,17.384,21.7158,14.8916,11.6324,0.8438,20.6944,20.5,19.9504,6.817,9.3176,20.6656,18.5036,19.429,9.9178,15.4546,21.2926,20.126,4.3294,0.3808,20.6864,18.4254,19.7904,19.2994,15.1132,21.6518,21.1314,18.5484,14.2808,11.6782,20.2902,20.5724,19.5774,20.2096,17.2608
iql_2p_510,16.6112,19.4866,2.8268,16.2724,9.1914,19.911,20.1656,23.3824,15.304,17.5816,17.4402,17.9292,1.403,20.1028,13.6242,4.0214,3.5816,18.4772,17.641,18.4918,19.0638,19.0492,18.1084,9.6638,19.7316,19.7232,17.394,15.7772,17.5688,18.458,16.5102,13.2422,16.0598,16.162,18.3614,3.3224,17.8482,19.1244,20.9534,11.3134,18.2036,15.4726,18.2264,20.6974,18.08,18.9176,12.6242,14.8702,18.8752,15.8758,11.385,1.3574,18.9704,18.334,17.3996,5.8646,9.7896,17.5966,20.6414,17.2284,9.1574,16.1844,19.25,20.7576,4.3682,0.2128,19.3608,16.6216,18.4066,18.7928,15.9758,20.8728,17.4426,16.9286,12.9528,6.7124,19.465,17.7748,18.1664,18.6358,18.034
iql_2p_292,20.3142,14.8508,1.2198,17.2742,9.8816,16.1256,16.6006,15.7598,24.015,17.7792,17.381,18.897,0.8526,11.9564,5.9276,6.841,2.894,12.9962,18.952,18.7066,16.3794,18.219,16.7486,5.5744,16.375,18.9326,6.8742,20.6754,20.8212,19.626,15.9492,16.912,21.077,14.5064,17.0814,1.9412,14.1016,18.6946,14.4086,5.73,13.3474,19.5672,17.8102,16.5262,15.677,15.8892,13.8078,17.1324,13.375,12.2226,13.4372,1.3032,13.534,19.6244,15.3972,4.032,10.636,19.5632,13.8976,17.2188,10.8254,14.624,20.6132,16.4848,4.2272,0.5246,10.7804,13.3172,20.0768,14.5496,15.0242,18.1612,14.5126,18.7192,12.8214,8.1238,16.5258,19.5904,13.109,19.2328,17.7106
iql_2p_106,19.9668,19.2244,2.2784,18.5274,10.366,18.5434,19.227,17.8582,17.3492,24.0074,20.2314,20.695,1.0766,16.9232,15.4334,6.4874,5.0716,18.1214,19.3012,19.6264,17.6636,18.2194,18.1614,9.0998,18.8152,18.8944,8.1788,17.7938,16.3258,18.86,18.7254,12.7564,14.2622,17.0436,20.9376,3.5856,19.0748,17.5306,17.6786,10.5484,18.9112,17.123,19.5292,18.5022,20.3338,19.8508,13.1962,13.389,18.5174,15.9596,12.5008,1.3616,19.6454,18.2188,18.7336,7.5236,12.6644,18.4558,16.2634,20.2986,11.8184,16.0286,19.024,18.7242,5.2866,0.5774,18.8502,18.6166,18.8414,17.735,15.6264,20.4712,18.1424,18.2708,13.5772,12.7734,18.1086,20.4398,18.4596,19.165,18.0042
