,iql_2p_12,iql_2p_420,iql_2p_514,iql_2p_5,iql_2p_616,iql_2p_280,iql_2p_510,iql_2p_292,iql_2p_106,iql_2p_204,iql_2p_310,iql_2p_492,iql_2p_3,iql_2p_432,iql_2p_212,iql_2p_101,iql_2p_210,iql_2p_10,iql_2p_7,iql_2p_614,iql_2p_9,iql_2p_602,iql_2p_232,iql_2p_224,iql_2p_604,iql_2p_112,iql_2p_220,iql_2p_11,iql_2p_111,iql_2p_102,iql_2p_214,iql_2p_107,iql_2p_428,iql_2p_208,iql_2p_288,iql_2p_6,iql_2p_110,iql_2p_2,iql_2p_8,iql_2p_105,iql_2p_4,iql_2p_113,iql_2p_518,iql_2p_314,iql_2p_606,iql_2p_612,iql_2p_608,iql_2p_610,iql_2p_228,iql_2p_488,iql_2p_284,iql_2p_484,iql_2p_200,iql_2p_618,iql_2p_424,iql_2p_480,iql_2p_600,iql_2p_206,iql_2p_318,iql_2p_202,iql_2p_1
iql_2p_12,0.026616917327143653,0.06060707179859459,0.12778735386570925,0.13647752960835713,0.09139291171639079,0.07765699345197442,0.07367742970543963,0.13694076255081974,0.09333714047473278,0.0491013984322239,0.08022184660053644,0.11578425174435424,0.1009096688727101,0.11450425036652571,0.07808484610985668,0.09456872108683716,0.12958352237842588,0.09102227859156241,0.1444459994323138,0.11325018025592717,0.10185257388991208,0.14708490280106928,0.11361833904788435,0.11122965057933068,0.11337506177286076,0.12023535905880599,0.06990484818666012,0.1349084710164636,0.08083126207105763,0.1214398714096816,0.07361504867892162,0.10658636070342208,0.08133169217469903,0.1250053898357987,0.09799047398599518,0.11828981021203812,0.13310857279679622,0.08822899183375042,0.12155320806955283,0.10115011414724155,0.11263403815898637,0.14231594707551223,0.11981644294503153,0.05974878502530406,0.14601347770668294,0.10028189511571867,0.08409623967812116,0.09486966684878788,0.03072801978650756,0.08893903417510221,0.08746945139875976,0.10132486648399788,0.08526706168269198,0.07459204885240786,0.11142353920065544,0.1213370306213235,0.1348490721065592,0.11066626148921811,0.0806543419289997,0.11051919652259509,0.10762650023112337
iql_2p_420,0.06186920132020454,0.026518543549750237,0.06398430707603232,0.06512027463087054,0.06222153967879612,0.05630021214880101,0.06079012913294394,0.05339102426438362,0.06434634883192675,0.03157048634405241,0.060110414671669,0.060350072079492986,0.0550940327803293,0.06111496602306181,0.05482423960256995,0.06274837903882458,0.060220639385512996,0.062499811455715606,0.06333419272399389,0.06187663694804365,0.06501199889251214,0.06825171710660473,0.059952714100364124,0.05251598453804327,0.06532213584995518,0.06556998801280965,0.05848263735503042,0.04840414849989616,0.05924281958178561,0.06178213586466561,0.0606302258613639,0.06339949368883004,0.05971251332844733,0.07264551691604926,0.05950007704196692,0.06922101415032865,0.060130057375658644,0.06525813751556199,0.061562285532621365,0.06044855472217677,0.059676293450582195,0.05295542910788279,0.06323916349857894,0.06254045730565136,0.05697610755395632,0.06282593088844765,0.06429157556009962,0.0617270896122602,0.023371910491014634,0.04851277571939169,0.04842752803932904,0.05923125769388997,0.05958547950633611,0.06651565776567198,0.06699629864402958,0.06437472572368755,0.06399220196242664,0.06235939544286811,0.05769741068713569,0.06200228634494054,0.06559704871409994
iql_2p_514,0.126055206667555,0.06250265811947521,0.022070199092894472,0.13524392750877948,0.12837046236576388,0.11801529609334543,0.10389696680846848,0.11688517822204833,0.0977164465583967,0.04298949071575517,0.10418513947775854,0.12777061042352422,0.11838733847840317,0.10156528064255028,0.12854849369790375,0.11831860712499956,0.13689678167144764,0.11770487242251274,0.10180436607533096,0.07540574614709412,0.12278997975404994,0.1089425932865562,0.13734045883132906,0.12189470538132492,0.12470613534225171,0.09693361518069982,0.1124046290505867,0.1344104340890245,0.12849467758627206,0.09514222410686013,0.12326322114888934,0.10150515726799303,0.13327639262825206,0.12266558633944566,0.13524141587546326,0.11430137255518852,0.11835439091136415,0.09065788521689659,0.07657367563334021,0.11750203525045853,0.11914096941019071,0.138393132661993,0.07351638288164075,0.11404405376870817,0.1440841287304053,0.0750644160171782,0.10514663650350399,0.12796055442205617,0.028999805654521205,0.1455670412971288,0.13528366452754004,0.07815272796262454,0.13378416336771703,0.09995402527162175,0.10827126787841732,0.10331612071695298,0.1425565705535876,0.09802407177831371,0.14584237735308625,0.07917745133559176,0.12919799995355966
iql_2p_5,0.13600694896952875,0.06559370549069475,0.13530384130541157,0.025536774424347333,0.1379521294072694,0.12973194209600036,0.12208317659694148,0.13554658650073043,0.13318349179984731,0.04047965652028189,0.122113428712816,0.13752017379279302,0.08895768877393342,0.13939146189060503,0.13773382954089383,0.12977694584170177,0.13782351509085813,0.13623786184464287,0.13346468114074225,0.13049042481347048,0.13240993240690063,0.13576917871151759,0.137472047369638,0.1361766969785947,0.13214504891217074,0.1350072731670409,0.11980138216231064,0.1207608226537067,0.13612770180973452,0.13614756923279975,0.13519601366904277,0.13067335263166702,0.13459495847913472,0.1254978278696488,0.1327970934621688,0.12624098656141752,0.13637296737990268,0.13472374994780986,0.13322265164753327,0.13885627262749062,0.08456807435433301,0.1263758614926126,0.13064401950338178,0.12711318786026884,0.1251930686899239,0.12892825601860905,0.12198877325393515,0.06169108687646862,0.02686295158764204,0.13348634686738567,0.1384939657602453,0.1308023456670407,0.13604683778757962,0.13110183534947173,0.13850084545590327,0.10273308390192516,0.11388456963083277,0.13177589385012722,0.13102737958152103,0.12953451675904765,0.1358269828568683
iql_2p_616,0.08836268492978244,0.06136011205987159,0.1264744815684176,0.137073479973334,0.028003019265786324,0.055884416718795585,0.06753187194206894,0.1326780041755226,0.10553305722852911,0.052939797884011604,0.06569409586865474,0.11025032516958848,0.10131697267486825,0.0766069513294975,0.09355986900375608,0.1070431186391727,0.14306605746996734,0.062434106320183674,0.13675072138749395,0.08620949367674073,0.13778520048249013,0.12099231195410723,0.11491860075723163,0.10415730503426054,0.09918480331179771,0.11567855268804152,0.06153388113876777,0.1394475197054433,0.06718586464428362,0.09233371262978654,0.06727403487230417,0.10501942509840738,0.08889025035401801,0.13351964886113205,0.07151798425571011,0.1305569692969318,0.13080406158831612,0.08663527221634384,0.09705374836656233,0.08136612838276133,0.11361372871268681,0.143858607361534,0.09333624200705747,0.07254847753054505,0.14898839898461894,0.07417170220508627,0.060109158303872465,0.10364966496810302,0.030719583330507595,0.08185468959076199,0.10831671926346365,0.09984143328298127,0.09700022268015678,0.047529964527653505,0.11925598202186756,0.12087843811035943,0.14585720918761608,0.10223205540338118,0.1001747982278976,0.09679592218683596,0.13809186041182875
iql_2p_280,0.0799632671168456,0.05517935382006571,0.11643545078712067,0.13031782315554538,0.053042202065902204,0.030384763418529356,0.05329814938625918,0.11466958390087584,0.09284445275836355,0.0448496609574699,0.053940147867798806,0.10480602391084207,0.10163174921253693,0.06406920002622164,0.10888303004600855,0.0795485799244713,0.13509594812576725,0.06356335422238193,0.12530209176226867,0.07337639505999188,0.11684779840459124,0.1294965956618165,0.11201368170004948,0.09222865112317322,0.08412678260815637,0.0967822297738588,0.04806679053150938,0.13184487779204773,0.08216869106904405,0.09093529088313294,0.06292721986549223,0.08917440547601088,0.08510209581438051,0.12402925380731757,0.05498478036693426,0.11494820524044731,0.12569969788348737,0.0756621551900288,0.081053562537374,0.08846416205447266,0.11148588341130909,0.14128632647216785,0.07400348186403125,0.08402854938650316,0.14041963825619264,0.06563868560536537,0.0529689040853216,0.10470883022935554,0.024632463782577656,0.07307866315142882,0.10614559325756297,0.08055515854369602,0.10635149270226535,0.048380485239402055,0.11637427330815002,0.10584172273730241,0.13929410953805618,0.08586868840270008,0.10661107751073524,0.08403197943640266,0.12467043222833551
iql_2p_510,0.07592762401129118,0.059489161634704524,0.10540691556060257,0.12188122582251953,0.07028609962147565,0.0565766323494073,0.025982005927179676,0.11767343285550907,0.09321603020940121,0.040494421838075424,0.05953256614660584,0.09636943710533957,0.09212745675421634,0.07891708656558477,0.08402634058436675,0.07856256024341365,0.12501773438996563,0.07144085912137395,0.10520734084653979,0.07595503406621579,0.10970561476970994,0.1141264421245138,0.11589249846301529,0.09108626083005053,0.10292517355827,0.07699243386203608,0.05646738605602352,0.12521691614155014,0.09512575575521069,0.09790928764933385,0.04987551150614898,0.08928919307508608,0.08675695149093239,0.12113775163837241,0.09000536090700376,0.10747462431662647,0.1175918151913644,0.06992270566847368,0.09029644954260384,0.09391093635993626,0.1061179570101121,0.1310393313780256,0.09188326119593274,0.06512020583505553,0.13210700144958254,0.06883937826564095,0.05742898613069884,0.10681107504374254,0.018194043860560522,0.08440522277679266,0.11003491576767803,0.08393435106081418,0.07517109572169345,0.054564127703098125,0.10899165292810271,0.1055465330932286,0.12296673228154026,0.09499693148728541,0.10107809954683557,0.08541751384815646,0.0971527086601295
iql_2p_292,0.13820777066431542,0.04687064744592291,0.114889350559571,0.1351984367956967,0.13454354286995715,0.1170116914158581,0.11392041428997701,0.024350667341984697,0.11268402491924043,0.03476225895996979,0.1306296283696773,0.12126443749096433,0.08791740414730179,0.09872802686167692,0.1311468304153783,0.10548084091435753,0.12134616981182388,0.10265520662879209,0.07858858767022092,0.07937559201668985,0.127146072971209,0.07325007986343769,0.14244569727443507,0.12386474400732436,0.14233239628419103,0.10602766699310137,0.1184672495164803,0.12353388199194583,0.1428172761538323,0.1191487943371648,0.12473404792597728,0.12380199594513815,0.13462965747560973,0.12335936053660458,0.14748752872022772,0.13174934477256423,0.13214123592580782,0.14024296345984705,0.08592196999603768,0.12886258740224021,0.09983163426489622,0.13719563596558018,0.0847122255167458,0.12733637657794414,0.14274572837041394,0.06876566841091562,0.09866363966527891,0.10210541627161607,0.03048342119907147,0.1528338809557619,0.1473343347628108,0.08347898149833885,0.13481746165834751,0.10414721749523603,0.11208599498599277,0.11438243050398955,0.1352202443719135,0.08953683916690382,0.1491451755572402,0.09490378180030551,0.11870067197787887
iql_2p_106,0.09561008800330642,0.05977506744454581,0.10097727391844166,0.13288170953144754,0.10836246254123243,0.09889172968453933,0.09096065980411532,0.1163543375727781,0.021396005421573435,0.039523998886752336,0.09735313352943499,0.12161730242033819,0.10810425038822478,0.08757376849262569,0.12277266392809108,0.10983083687198235,0.136423634286732,0.10565586245921235,0.12963182815959975,0.09219197362026696,0.09993037059873239,0.14060288130760337,0.12727835561477058,0.07310445436497014,0.10689733856368923,0.11111099283149259,0.09817846733372852,0.132845517380151,0.10602086073976195,0.1001829799516864,0.104194045895147,0.07241377984886578,0.09242222607143803,0.12154020368585859,0.11273698378083387,0.10210386868282709,0.12249897906513345,0.07622710651730132,0.1030457437840108,0.09965363118321378,0.11869712973783318,0.14107655555761206,0.10646769121193528,0.10731786471971944,0.14197874590233567,0.09266781965709564,0.07930363719275428,0.11239016483660837,0.03352255730101747,0.10760721161706588,0.10545824239005692,0.09637079022193394,0.11459386981859021,0.07595415796386659,0.11103428962262063,0.11187012469824104,0.1387282613168636,0.08022315870121294,0.11283666794087815,0.09210230620348221,0.11193085576372584
iql_2p_204,0.04967083941308019,0.029534077808524847,0.04499653097739869,0.04102853553321152,0.053652764402218826,0.04619541717529997,0.042007994572462036,0.038279485785470004,0.04292539537383435,0.02262196879142043,0.04688558976913908,0.043679999175824165,0.07101053662661619,0.04693795053046095,0.04095245780169977,0.04643789176954526,0.04083526231089987,0.0512200859819661,0.043045270680993515,0.047154822362087206,0.050449873419068154,0.04937253131043617,0.04411946509195233,0.045164112390259595,0.057046355256054705,0.049284591993847326,0.055082075124308814,0.033859067441381195,0.04841441107769462,0.04927945324372014,0.05073391575662182,0.05198037775930452,0.050467796940227135,0.04080407822754976,0.04851914558192467,0.04543812945093581,0.03730972623860968,0.04938630579421789,0.048750570950502725,0.046940127907793346,0.061109389065838314,0.039559897977623756,0.04758942395112595,0.044107663189065005,0.04349819306591942,0.04630326433416978,0.04767348109798569,0.03191537610619684,0.014065046320577833,0.044606674298808685,0.04307538981831737,0.051303660610135804,0.04919775604638895,0.057043476401776205,0.05373832271293922,0.05169488206776373,0.05204032090600518,0.047658649917932,0.054002393354369016,0.050188641264732395,0.0465218524136776
