,sad_aux_op_2p_25001,vdn_2p_770,vdn_op_2p_7772,vdn_aux_2p_940,iql_aux_2p_8110,sad_aux_op_2p_25024,sad_2p_2025,iql_2p_510,vdn_aux_2p_971,vdn_2p_7110,iql_op_2p_700,sad_aux_2p_20025,sad_aux_2p_20024,vdn_op_2p_77112,iql_op_2p_710,iql_2p_310,sad_aux_2p_10,vdn_2p_726,sad_op_2p_2524,sad_aux_2p_20007,vdn_aux_2p_9112,sad_aux_op_2p_25025,sad_op_2p_1,iql_aux_2p_804,sad_aux_2p_20001,iql_aux_2p_8141,sad_2p_2024,sad_aux_2p_20000,iql_2p_210,sad_op_2p_2500,vdn_aux_2p_9142,vdn_aux_2p_9141,sad_2p_2019,iql_2p_7,iql_op_2p_6140,sad_2p_1,vdn_2p_720,vdn_2p_7140,sad_aux_op_2p_1,iql_2p_224,sad_aux_2p_1,vdn_2p_725,vdn_2p_711,sad_aux_op_2p_25007,iql_op_2p_6110,sad_op_2p_2519,iql_2p_111,sad_2p_2007,sad_op_2p_2507,vdn_op_2p_729,sad_op_2p_2,vdn_2p_710,vdn_2p_740,vdn_aux_2p_910,vdn_aux_2p_911,vdn_op_2p_7742,sad_op_2p_2506,sad_aux_2p_20018,iql_aux_2p_800,iql_2p_288,sad_aux_op_2p_25019,sad_op_2p_2501,sad_aux_2p_20006,iql_op_2p_610,vdn_op_2p_7741,iql_2p_4,sad_2p_2000,iql_op_2p_620,iql_op_2p_621,iql_op_2p_618,vdn_2p_7141,iql_aux_2p_840,vdn_op_2p_7711,iql_aux_2p_841,vdn_op_2p_77111,iql_aux_2p_8140,sad_aux_op_2p_25000,vdn_aux_2p_970,sad_aux_op_2p_25018,iql_2p_488,sad_aux_op_2p_2,sad_aux_op_2p_25006,vdn_op_2p_727,iql_aux_2p_811,vdn_aux_2p_941,sad_2p_2006,sad_aux_2p_20019,sad_op_2p_2525,sad_2p_2001,iql_2p_424,sad_2p_9,sad_op_2p_2518,sad_2p_2018,vdn_aux_2p_9111,iql_aux_2p_810,iql_aux_2p_8111,iql_op_2p_600,iql_op_2p_612,vdn_op_2p_7712,vdn_op_2p_7771
sad_aux_op_2p_25001,0.029329306981243176,0.0785769991791491,0.11366930192448618,0.09984127803669182,0.10160686590974057,0.11442535033811345,0.02041074148579615,0.11064442185668466,0.10264484754725878,0.1228536031217644,0.10027068580597222,0.1368727792075546,0.06961747803533247,0.1182346114807335,0.11454710416243614,0.11368271411256857,0.13616883963668047,0.13163970923699275,0.1378307989964507,0.13329610944059844,0.11348361643867362,0.10588788784370004,0.13562877662207237,0.09033079824733091,0.11642990787594056,0.11613214321625172,0.06694833584190125,0.10349256881535021,0.12218862519891122,0.12732456529672506,0.12973599774927544,0.0904644583911273,0.13301708329383863,0.1047484347949887,0.10667731346448503,0.13217278603403954,0.13224940365839083,0.12982553952131298,0.10600650210246539,0.1233254332568915,0.1288543994126704,0.0955239847996303,0.1171968005024028,0.13236424142494074,0.10378691262389492,0.13185705363005804,0.10948472298910016,0.017724387492943163,0.026445835210860705,0.08440812278448087,0.07902831310359598,0.1143659515415318,0.1251289213891017,0.09243937130898283,0.09130237582889067,0.025355209484443232,0.005496110624796412,0.13237924139380766,0.10847351746855083,0.1170619511540791,0.12414189684389391,0.1178026577289324,0.13787846169724985,0.11209490832325972,0.1057988775365788,0.10977238177246587,0.13308970941436457,0.10063722535920791,0.1045888376070793,0.1075820208027345,0.07052731527571426,0.11761520228269814,0.1217003057021633,0.1138398840477273,0.11522558601282963,0.12024953721324667,0.1148753227111898,0.11491645257316291,0.11444868610866617,0.11848931752693995,0.11915152621766957,0.11953155897920847,0.11750127008675268,0.0924076637081579,0.11823847035546424,0.0395258420783163,0.1176813948251804,0.1300200104906933,0.12740976615628802,0.11974421803160266,0.06584677723321013,0.12838050066891,0.08986892566399132,0.10636956673785974,0.09231440190999451,0.103827782948496,0.11226361419444858,0.09052657528041143,0.11825947052139207,0.1352945815618645
vdn_2p_770,0.07760967032528872,0.0195563792149774,0.11232201650611512,0.12080974053444532,0.108989679327907,0.10947472310994899,0.058262920695756414,0.09154725428979288,0.11484489101392366,0.09048848373135666,0.10621966733143161,0.12150856180533125,0.10216652723862156,0.10587152591702832,0.09716410361856893,0.09076521443813154,0.10001434997039174,0.04512916609023482,0.07828241585439223,0.12180046305330698,0.11781922800629785,0.10916355421110105,0.057651085054836564,0.10206137933616222,0.11794617046771803,0.11696228831550792,0.05754001814389703,0.11234796745825,0.08060449615251,0.07141624935545132,0.12125707896861115,0.1143981033409208,0.03651206386935694,0.10597930363990886,0.112297523534582,0.08304690607120772,0.07051111118114647,0.0962569733993335,0.09772761804116584,0.11095042781350596,0.1018500497398013,0.05985048036565788,0.10801284512501279,0.11549962133271259,0.11328568841649857,0.08619603703187287,0.1051287551909562,0.03704079308006242,0.03292691531255243,0.08888173135127375,0.016039551115913438,0.11170997015486128,0.09566995248248009,0.11168113165615756,0.10583665542712506,0.014965932246271862,0.0,0.10922442038298943,0.12310531049471424,0.0934008126302978,0.11528375274946595,0.0663323534332983,0.11256411634264267,0.08410298372828397,0.04747403534564973,0.09351457601892872,0.04394034783658409,0.09984939058401908,0.08922802698704034,0.10405702586562812,0.039491345786133954,0.1241576215944877,0.07402831263780094,0.11620777361261163,0.10858966105481684,0.12042306672726782,0.11400705648335983,0.12006972960742437,0.11320500960646576,0.10284193308179304,0.11782067645366837,0.12924845295785942,0.10713360391585824,0.09776592612971045,0.11893196966333318,0.006232553890661516,0.11468011510283725,0.10213095029421787,0.07218960168888591,0.11134481491295409,0.024434113693768394,0.07760089978859781,0.06573144757268015,0.11979672513053102,0.10983340981686765,0.12328280201228392,0.11376236196563429,0.1111261497218364,0.07159026609812258,0.04921346157302898
vdn_op_2p_7772,0.1109115971934405,0.11106991581882109,0.02189760005114716,0.0707522753839055,0.0770685695209143,0.08923061071179553,0.02201406895601083,0.05839647414013966,0.09473616601910803,0.06677024960264864,0.06022641221258328,0.08104200964931706,0.1069048892801447,0.0544911001173586,0.13029085343185068,0.05546146590201164,0.13036121432389314,0.13870087572903064,0.11415025042460485,0.07616906584696966,0.09427644032312633,0.09910985739067532,0.1491085987057755,0.0825212591275727,0.08941554925179401,0.10080440164992796,0.14528655095362406,0.06361243123792706,0.1384349999385993,0.10826965502854434,0.08396135034645406,0.08698058983474416,0.13159178621783352,0.1300815815094512,0.07690562403361667,0.10950534233543129,0.1308901437389386,0.14228608747168497,0.09683630620795074,0.1023326370616921,0.06749715911058775,0.0985805699314018,0.10899393832686292,0.09905511673810696,0.0809906471637312,0.1387533496244325,0.08326032000899347,0.14469651760840688,0.01596096839167348,0.09051041217451172,0.023013800207701465,0.05443771038535695,0.10430162414842829,0.0992171104195239,0.08057257295134616,0.02273604996475861,0.0,0.09491056421705646,0.07800188587463766,0.07882744572799501,0.09431506348404799,0.1040622650147497,0.10452452940817289,0.10286449323260188,0.10675130140658709,0.11650898399694333,0.10718390311982486,0.04125137146811,0.07527012134970953,0.05258179639380914,0.04264452171146957,0.09312829512022647,0.08515072636213973,0.08357078298065658,0.10476155691855672,0.08265261297744916,0.07869056990516715,0.08124946591824464,0.10119209629215119,0.07618452499031546,0.08043722521320584,0.10285392764498592,0.1297062650761327,0.09299454775415598,0.06657499734885462,0.025848882529037887,0.09278808733883892,0.10856114236687085,0.14821506727725087,0.11425131004938194,0.06809033787550184,0.10847963034597785,0.13419936092247237,0.07555980963448757,0.10264180434891038,0.08800323339514293,0.14035886576914192,0.06853620538080585,0.13830196238665593,0.13527228174315684
vdn_aux_2p_940,0.09771458503212302,0.12187324480787404,0.0786733528458016,0.026086451809320486,0.06801977824133212,0.06507731272878436,0.03418378141750851,0.08871680675046865,0.07052804667648183,0.10287259864512026,0.08602718970186113,0.04761313356627559,0.07152662603534433,0.09246789955438589,0.12907156167026104,0.10012216437932211,0.10514633517151228,0.14746894428319474,0.13486446838215022,0.06807636177117575,0.06525634222050758,0.06894567594853211,0.14574111447357604,0.07078878803878479,0.06988277035149651,0.06659080867507165,0.1509139986879945,0.04814684861961372,0.1398462709978353,0.11654933372610929,0.06583897198468396,0.05523668346307552,0.13822420971740082,0.12038329119940193,0.08765690567205758,0.13846794629805123,0.14016721759384396,0.1385280614171728,0.09215386572466724,0.10063836083720759,0.07961985275042902,0.09314175136854577,0.10481107712451009,0.07232212778949468,0.08242734905357565,0.12810265521057712,0.10220842454514208,0.13437844443213354,0.029715717591873834,0.09756751508570873,0.03439044099746323,0.08512572461952966,0.11428004336716013,0.06606417994647328,0.058432260678498486,0.02886138957153657,0.002799719985998599,0.07647280531012315,0.05489112307103946,0.11202658413073212,0.07079531459072698,0.11767820362327086,0.07051148984385452,0.11641667729324694,0.10706134600312102,0.12026343936541976,0.1115637251439732,0.07716700388119264,0.088998398862002,0.06842808072714007,0.05744792417485597,0.08115462278884672,0.1295244493059129,0.058806913267064095,0.10269575410892116,0.048461473687868795,0.05728541531664058,0.04374913859723412,0.06836765176602162,0.11006931543350308,0.04906454817890408,0.05989995599330604,0.10526971952085747,0.06382441608036848,0.046803731817025025,0.039010149961260086,0.08451245470343409,0.10304409584250812,0.13879320686546587,0.10113326985715432,0.07667587839731606,0.11127955082583682,0.1393017118057061,0.0520879679772594,0.080294917946281,0.07568589829023634,0.14385709506312158,0.07396609163664118,0.12731506968147957,0.12924431982876464
iql_aux_2p_8110,0.09992895200090912,0.1070770614464181,0.08056898256773508,0.06723464321315313,0.035229067543720204,0.061505446327947244,0.01789730504852616,0.09977348409271873,0.061678649466407734,0.10418126507198883,0.09610579000247592,0.06894644878454582,0.06892165517455309,0.09064946883462693,0.13146681540221472,0.09760612833219029,0.11866226358872477,0.1367821443025368,0.13092425141279213,0.06602077224631653,0.055818556054416164,0.07859346736211603,0.14287725414494779,0.0806591395937249,0.06368134364160354,0.06959723120929452,0.14763657855694165,0.04497924854863629,0.13602248964050023,0.11710635589924229,0.06629753539913832,0.06049615101806064,0.13323591395716097,0.1077555499823559,0.09771392854654858,0.13637609397544717,0.13122349192122573,0.13038985862405097,0.10085615067015001,0.09848761916098896,0.10119525680584045,0.10769464205799653,0.0853765352307061,0.06901305099761929,0.08664509680299284,0.11726042725489279,0.1148513256693191,0.13847761511522358,0.04577450740313871,0.09979974252471797,0.04286801474292925,0.08881422858979296,0.12023741444325887,0.06459765419889486,0.04834028018123189,0.027794751159166724,0.0012803718209957607,0.07155073701926487,0.05327568871445961,0.10592680929774105,0.05722301522988805,0.10706029818751672,0.08632480264674805,0.11617479575191858,0.11739092976887097,0.11039154949542106,0.11424269293044523,0.08613536862404432,0.09428810588828265,0.0765700398850621,0.056876239256828505,0.0585406442738718,0.12730815226056813,0.059503362997397044,0.0892399092783044,0.07214890330420831,0.06402018275512808,0.059210780369794144,0.06569513857204351,0.10806577696939952,0.054474714574745585,0.06664588395392472,0.10191070251941156,0.07171637865927141,0.054406996535372176,0.04797655419056271,0.06361889027639511,0.11025929526348334,0.12625562590237313,0.10593648327181715,0.06724557383203744,0.11329808383198721,0.1415673295644161,0.05496019650619891,0.0651706043550311,0.06057796028259783,0.13598527682069114,0.07607885251500576,0.11107627807952515,0.13281497204758205
sad_aux_op_2p_25024,0.10854430306561463,0.10975527088937459,0.0949297055299341,0.06442599823052803,0.06023212106509283,0.02123919019171871,0.016986812532079114,0.10616061552195333,0.06344986045689935,0.1165331798587853,0.10002260160583708,0.06980431069783584,0.04374363716016308,0.10239090443979876,0.1294821567938996,0.11632865273869547,0.12003000958093771,0.1506818057762781,0.1403396768130809,0.0756759905914683,0.06508165892169622,0.0681004272526979,0.14646405855362604,0.10151623696729503,0.06138238698519307,0.07814499344167865,0.1470800972259673,0.0561102770622281,0.13900219957971888,0.1285982194589023,0.05128710559195167,0.0504009776889298,0.12674263607799863,0.09960218214477029,0.09614274986705966,0.1443485261164796,0.1352808236521348,0.12948934631080658,0.12209193585163601,0.09361316039959337,0.10722753672448138,0.08425452391414956,0.09487191259798655,0.06282903628100625,0.08656504902095302,0.11995660518704253,0.11892891470117768,0.12699874137959005,0.030773136856680695,0.09919958064427489,0.02798328057966042,0.092057073601109,0.13225784162763282,0.06403730656422083,0.055174387101262844,0.015061042460600128,0.0008483584148224146,0.07106306151581143,0.06285162050416838,0.11229899942564048,0.060793896996326854,0.12451852552933639,0.08110350049165573,0.11217434202169406,0.09367798785200289,0.1116548065781317,0.12931444216327886,0.08654984593862661,0.10700427146614287,0.07944809626416481,0.06404126769513545,0.07314146271438655,0.13274534342115357,0.05873713646408037,0.10016398997643813,0.07429777789409317,0.05673464155170101,0.06599016920723874,0.06182742116569314,0.10893271460860598,0.060022678114192804,0.07196323900436945,0.0860870887415761,0.07243781355065873,0.06072546984585628,0.03366564908033113,0.07231856879114795,0.0983876460131047,0.129326070967922,0.10041315607030783,0.05494290855060368,0.1263092722170467,0.13447887801435585,0.06263858433904776,0.07263525177212508,0.06009760055110353,0.13796564995679178,0.06824851154420877,0.11176775116284661,0.110626193787909
sad_2p_2025,0.02042216442985415,0.057554876491918566,0.02040476101305771,0.03348892306420139,0.020247819635703986,0.01982111278409969,0.025641935028386607,0.015263458061658243,0.01900902943340348,0.011570671890603413,0.015919352750661694,0.022449516698583957,0.02510991501379485,0.015296999705824668,0.03244255957843031,0.017882807609544984,0.019763484712975087,0.007707035227634556,0.013479399096398916,0.016702037959482666,0.026780225391135153,0.02605424249522522,0.009477086472117894,0.020382929131996703,0.0181425729156589,0.0303258564264886,0.008595380619844592,0.020363980750334642,0.014877311316229155,0.010078402651214128,0.020732542728763393,0.026470932586518368,0.00787756510604641,0.017201912451817673,0.01798362788760933,0.009892781610851418,0.011626348007865581,0.0209526086204081,0.014013248302945322,0.03119211131039385,0.020587957450898326,0.02759244882209624,0.012537777793532634,0.014625653899911618,0.01892305916071712,0.02738855585824123,0.020716478272138825,0.005248218745441162,0.006525810907465831,0.01707654203871498,0.00375699347883384,0.017791122280508335,0.019283218818444185,0.022902807513490567,0.022068091716322007,0.00824158771111489,0.0,0.027026563377536554,0.03156031419361981,0.02091024610089513,0.022640529852457073,0.01264887157022317,0.02049577341795132,0.012189646754520821,0.05122104059856652,0.017204003255056655,0.008823131416906358,0.015569670773654787,0.01961298325089786,0.03306547976364474,0.02325848335554148,0.02020593477174466,0.006150615578948175,0.027206984397393254,0.018821668363883153,0.029755004822718478,0.026687546758741236,0.03577393900593,0.027379866471551682,0.017671585327864617,0.019056577657071586,0.020855390861837138,0.03491017043785378,0.03013368069121328,0.025301737331653727,0.0,0.01505777247802609,0.03274993789307088,0.01292276626732837,0.022653701684272262,0.020817969929846667,0.00654582309568476,0.028021671470488695,0.02614654026826494,0.026444495684357458,0.022446893593546523,0.01937962455776685,0.03775421820141426,0.022698506558802498,0.024905125416267226
iql_2p_510,0.11099615258197015,0.08705033321016066,0.06283727498865622,0.08849270270479934,0.09861917018511157,0.10972865992073355,0.01457482322362779,0.02597910791386032,0.09695705601966263,0.06744124310835321,0.0719510409097742,0.10217061119519644,0.11181518233227543,0.057729836722443625,0.12984463944268165,0.05953256614660584,0.11263855080743893,0.13650976108689078,0.13056675852605057,0.10636590998999633,0.08037969395313718,0.11503478009715148,0.11226662549484596,0.09227204282988428,0.09508095077353823,0.10622020884935218,0.11214035059691937,0.0687782756399141,0.12501773438996563,0.08426828466273655,0.10454797784749353,0.10417379493903446,0.11380712803686771,0.10520734084653979,0.0869924056915315,0.1075466927803919,0.13145740164783418,0.13236859941844212,0.11136626289859959,0.09108632173932592,0.10747535349092831,0.10190000808635885,0.09651815891323248,0.09400475153948336,0.07472440565170123,0.12400291235289597,0.09512575575521069,0.05524453247154871,0.020195638142925815,0.0856579204043619,0.14696066183846615,0.05703668707069161,0.11374611603039463,0.09903323785477278,0.09531629161900917,0.020462192257918017,0.004751756727779737,0.09846087836293153,0.09374691884003442,0.09000536090700376,0.10290628217946658,0.0723317724931444,0.12383174391084056,0.10681107504374254,0.10979198717574976,0.10612885266505052,0.07501169567474128,0.04450283865103439,0.07689027839720702,0.054564127703098125,0.029414375261086204,0.10271188425883346,0.07443958086931977,0.09382171923387463,0.09252482957563336,0.10227248998631058,0.0782316334483692,0.10276660745592413,0.092577966061045,0.08440522277679266,0.10375453478282287,0.11201701299356273,0.1195092968433837,0.09342716414405396,0.08250537684296703,0.03234002238712892,0.10503553014099562,0.11191587379813464,0.13176882104655865,0.10899165292810271,0.05761052674642022,0.08308538258923769,0.10077538604242606,0.09160594408661481,0.10061058675904835,0.1024513658669322,0.12296673228154026,0.06883937826564095,0.1262632109206795,0.1412947982057372
vdn_aux_2p_971,0.09953174331840069,0.11538692834112536,0.09639108738882449,0.06816333419075098,0.05832003813441825,0.06318786997517799,0.016463413011887907,0.09631787003458911,0.01864230007268416,0.12161470223620167,0.10647863226018636,0.07848532861624521,0.062445086275863204,0.1077847447461838,0.1238955882668951,0.1052974723723224,0.10465904398569671,0.14606817860163793,0.1307627075583861,0.07245853434896402,0.05807381172266894,0.04792349561540769,0.14615385643902798,0.08109786872661945,0.06771240264530569,0.06698039587819707,0.1501160344533521,0.058177328298917266,0.14081414789714847,0.13816248726770955,0.06514945869306973,0.06486364775434697,0.12167946495608863,0.08447217572668529,0.09340306444651589,0.1487390360060196,0.12813828651890113,0.1256990969259525,0.10069234425714797,0.09764175463396794,0.10956288711055401,0.08921821446319132,0.10332782746191851,0.0881067987842028,0.08681052834766068,0.12941560211968262,0.12166233086703541,0.12218500739452448,0.040262860206398646,0.0925862641648317,0.0481593999132049,0.09556945118603538,0.12328869002467338,0.06054194605395503,0.060189993586974244,0.035834735215988414,0.0041466854233230665,0.07235927495490815,0.06366753119133801,0.11771550378773392,0.07761020633911496,0.12955968431576234,0.08891379982882297,0.12109435342739977,0.10202552461026601,0.11346922046088093,0.12883507584505083,0.08978287547188495,0.09023001713398929,0.08859264217755332,0.0693691629472347,0.05791444724764279,0.128561984272179,0.05128181892249922,0.10932109677459331,0.06955369402123801,0.08091491387871583,0.049605528643488925,0.07132439829399194,0.12257471595724788,0.047242225095776344,0.08869818595664739,0.08265937352774941,0.0679402287897237,0.06769982002930289,0.05932890695099649,0.06729029499117982,0.10401072621609754,0.13370570381251504,0.09174583146933707,0.06277716782397881,0.1394177927238844,0.1323906848384734,0.05778607936172864,0.06374030806326558,0.06537722117067993,0.14275546507226963,0.06775692501877575,0.10409050027740283,0.12334570604605577
vdn_2p_7110,0.12262240656584748,0.0902634667625834,0.06846680807515419,0.09933872682896634,0.09765799244301512,0.11279467164720149,0.01465797557645666,0.06469455593788398,0.11719588303349227,0.022884890211665856,0.08822797628870332,0.09928613514484287,0.12382560639867668,0.0706331366994274,0.14771371706107733,0.05513080184434106,0.1325025818616377,0.1393079861601624,0.092407504067581,0.07426382354821222,0.1149013672329446,0.12141831743192621,0.14652347773650476,0.11479605623887956,0.09329206229899734,0.12533818265795943,0.13336488761289458,0.07938980685201344,0.135199835236586,0.06965325686570586,0.09476009181084619,0.11532916800185461,0.12511798911427563,0.14260949354092803,0.1042847515603312,0.12256424845769666,0.14013145782442998,0.13855937756788603,0.12594972342962885,0.13688498927201626,0.07444168676218992,0.08255560409808653,0.09932504501886721,0.11474568736122503,0.09246819089827593,0.12301130887849294,0.07898290037723354,0.14069588320914012,0.007587397972954891,0.11555898178852217,0.025453487619577796,0.06254599945640009,0.12295684368102491,0.12604058949401975,0.10062765011665531,0.01956617489444475,0.0005999399969997,0.08975556918654128,0.08546511686062332,0.09773808555522252,0.10903010960280651,0.06825960421801462,0.12323671284158792,0.0842949286730821,0.10256193130006865,0.11166906823288175,0.07438556370694517,0.0647920019138165,0.08627816891891017,0.08619304245703362,0.029054907468446703,0.11869803620953466,0.08273792605570918,0.1101414931440463,0.0899226282534046,0.12144585216465813,0.09629597640607837,0.1149387608772602,0.11574126441334569,0.12613957218890512,0.11420519606392697,0.10208118647429602,0.13001424534257774,0.119459919002149,0.10972945274628867,0.024608602723437997,0.0907092155847464,0.10769904701528235,0.12964369929927178,0.13700534424612787,0.05160581641636919,0.08587490022119386,0.12806715735113355,0.09919107859076844,0.10498725255953695,0.10981268050639689,0.14077931640692107,0.08604161221176646,0.13954277999237366,0.12220158545616339
iql_op_2p_700,0.09627052815893346,0.10743413085235065,0.058857563592116184,0.085136038150715,0.08949135037532957,0.09642691922902027,0.018716709967299273,0.06984151453111538,0.10450716182157087,0.08972349342284884,0.022776193711856248,0.10134604481675642,0.10952500350148361,0.05132774929801617,0.10979270179752386,0.06093399438736969,0.1303884116323226,0.12814813225326385,0.08273581932875262,0.09900904588975697,0.11119206863801032,0.10073420197728276,0.14885416605523674,0.08622992056125298,0.1147265261393371,0.11375854116504835,0.1453867999235144,0.08137041973592123,0.13921936506104315,0.1172382414061214,0.1030161307757188,0.0989061046043165,0.13911913179717592,0.14166646112612538,0.05450820973027824,0.12108735752340125,0.1311658528428798,0.14406791243021466,0.09838685989500832,0.10156321838145933,0.06490176694050788,0.08465991405618126,0.11929013290293544,0.10957834472193856,0.0774417983262269,0.14961148017448395,0.05766573221593567,0.1402274609340125,0.014428849988824472,0.10326198568689252,0.030371342281828768,0.07437718999800948,0.09670562738538022,0.11712604352576755,0.09587412731284702,0.032676890794566114,0.008100685896885522,0.1188262588824541,0.08388462891376464,0.060345523446234194,0.11511049356162102,0.12122730715478257,0.12303787953309336,0.10821829789827596,0.09166635151460976,0.11659285453234262,0.1218189722826457,0.049538764699980156,0.08718858085781646,0.05163889231964605,0.04545794707199172,0.10778955956863355,0.06861436345255999,0.09856970402715025,0.10880357920583311,0.08899128006720658,0.10204891360519228,0.0974850600246007,0.11169658182773544,0.08564495786676528,0.09046422386778102,0.11757911348534654,0.14589036979869507,0.10764117561602529,0.07899014622090529,0.029761085867286496,0.1198721671114692,0.13433772292249113,0.1535948873107435,0.11000959867211589,0.07522638919953555,0.12500970983087675,0.14388761603418132,0.08885981224378092,0.11338230352219873,0.11252788610828875,0.14029473193245712,0.08040627856081888,0.14166685867908557,0.13783655175605633
sad_aux_2p_20025,0.13573810521736332,0.1202942658317511,0.08239092333503734,0.046002990859290875,0.06907615368562439,0.0665926677044853,0.021338218107424062,0.10083619096336394,0.078436680194919,0.10299697358660594,0.10633990769226762,0.025506791409348216,0.0795933049948298,0.09016263421173984,0.1446433595848769,0.10016434395532176,0.1254140446361571,0.1384132340204505,0.14591032180075542,0.08751609333145531,0.06554227893505077,0.08128212748199938,0.13944902724651756,0.11300072920118702,0.05515679461317526,0.057287953637741335,0.14982751426890856,0.047859586291567544,0.14270306805391395,0.11115714969357571,0.05921917520533361,0.062363857225158865,0.12935111407328503,0.1124045433601329,0.10342134773826919,0.1489720503987241,0.13341027771502462,0.14733310066648297,0.1169250166217649,0.08873162552325974,0.11612023833940403,0.08814471187768443,0.08318242001769365,0.07312136623450084,0.08751837982961064,0.11493931880779526,0.13208115941344548,0.13795123193360762,0.035304571941888775,0.11657185852511744,0.03914659126922803,0.08947996562359643,0.13140564371441585,0.05369647846926277,0.05798036295160629,0.01936882030480948,0.0001999799989999,0.06775498440705302,0.059596801994737936,0.10602857543134303,0.06789785174804869,0.11898057088449357,0.08029616200043437,0.10654362621949755,0.0969542370812127,0.0995381866019268,0.11752390595959615,0.08149167118178396,0.10851346622424334,0.07868952641870454,0.04337128414054626,0.08971263237694009,0.12919056002665208,0.06955630668746005,0.08949267929836495,0.050056415452966664,0.06004738069225001,0.048028584738674114,0.07063409935718017,0.10011743340697463,0.06898288663139576,0.0834087517710222,0.0997425639935128,0.06499257803780367,0.06405985145159174,0.03221989993777138,0.08063589275254539,0.10954877164076282,0.12529250818784018,0.10841686230471716,0.05692104173326415,0.10509141635737906,0.13548875292067603,0.04732381590700394,0.07756981057086577,0.07570091973021198,0.14143025520729288,0.08104512673813273,0.12432355950502705,0.09785491284549795
sad_aux_2p_20024,0.06835532289441693,0.09886034691422037,0.11057301168006593,0.06550606390251211,0.06335113012409486,0.048259247901309026,0.024143554005158396,0.10835873867852097,0.06434005259556444,0.13135777537702137,0.11008450481334783,0.08154458898050808,0.02431427498405001,0.12023088069210838,0.1351742171865626,0.1224260568343194,0.10861942481895215,0.15017679181551322,0.1349524146949583,0.08840684312879857,0.06183954197760523,0.06149178312587787,0.14796786069954515,0.09356465571998862,0.07985758879405264,0.06073282598397674,0.14882585915088817,0.06637673785295568,0.1381593791532084,0.1403792686688458,0.07388114541613441,0.040651304628511,0.12407692578396677,0.10945405450690257,0.09828464258468868,0.14423306428139143,0.1366529736229695,0.13744007962745075,0.11579683860969607,0.10372030080943653,0.12450616832912337,0.10356288814049172,0.0973872424909957,0.0739641753283304,0.09510229860523876,0.14627728747826846,0.12304337823710788,0.11925711916694953,0.041118211634262505,0.0941475111088976,0.032165700489807464,0.10372762471010313,0.1338356641258226,0.05869800787079575,0.052072278920746305,0.029961327607434217,0.0015617400551948457,0.08436685410752257,0.06775227813143997,0.1236491035147445,0.07283828833793392,0.12844285577641132,0.09765611239446303,0.11658953555100904,0.10429529887775382,0.1179248194062641,0.13060232080633177,0.11097392255841007,0.1139361475915348,0.10048495194804045,0.07262890394326489,0.06941573026339203,0.13093889188472616,0.07421527411523857,0.10581335280577776,0.07039201721786358,0.08054404191496724,0.06614639860188913,0.0576977792293603,0.12219659802138519,0.05220185927723264,0.08241456104354376,0.10139418129261658,0.06937189004200475,0.07496679963823986,0.0445107088238325,0.08934509235542823,0.12482462269920946,0.1475546536033344,0.10883245982702035,0.07736545870089571,0.14437463597183545,0.13352984397504553,0.07799648971588401,0.06570647456681875,0.07291045664374898,0.13798391138100125,0.08901971934352523,0.09461223109091128,0.1291970585114073
