,iql_op_2p_600,iql_op_2p_618,iql_aux_2p_804,sad_aux_op_2p_25018,sad_2p_9,iql_2p_7,vdn_aux_2p_971,iql_op_2p_6110,iql_aux_2p_800,sad_aux_op_2p_25000,vdn_op_2p_77111,sad_aux_op_2p_1,vdn_aux_2p_940,sad_op_2p_2525,iql_op_2p_610,vdn_2p_7110,vdn_op_2p_7711,iql_2p_424,sad_op_2p_2518,vdn_2p_770,iql_aux_2p_8110,iql_op_2p_621,sad_aux_2p_10,sad_aux_2p_20006,vdn_op_2p_7742,sad_aux_op_2p_25025,sad_2p_2007,sad_op_2p_2500,iql_aux_2p_810,iql_2p_210,sad_2p_1,vdn_2p_740,iql_aux_2p_8111,sad_op_2p_2519,iql_op_2p_620,sad_aux_2p_20007,iql_2p_224,sad_aux_op_2p_25024,sad_2p_2006,sad_op_2p_2501,vdn_op_2p_7772,sad_aux_2p_1,iql_aux_2p_811,vdn_2p_726,sad_op_2p_1,vdn_aux_2p_9112,sad_aux_op_2p_25019,vdn_op_2p_729,vdn_aux_2p_970,sad_aux_op_2p_25001,vdn_aux_2p_9141,sad_op_2p_2524,vdn_aux_2p_941,vdn_op_2p_7712,vdn_op_2p_727,vdn_2p_7140,vdn_2p_711,vdn_op_2p_7741,iql_2p_510,iql_aux_2p_8140,vdn_2p_720,sad_2p_2018,iql_aux_2p_840,sad_aux_2p_20019,sad_op_2p_2507,sad_2p_2000,sad_aux_2p_20001,iql_2p_111,sad_2p_2025,sad_aux_op_2p_25007,sad_aux_2p_20024,iql_2p_4,iql_op_2p_6140,vdn_aux_2p_910,iql_2p_288,sad_aux_op_2p_2,vdn_op_2p_77112,sad_op_2p_2,sad_2p_2024,sad_aux_op_2p_25006,sad_aux_2p_20025,vdn_aux_2p_9111,vdn_aux_2p_911,vdn_aux_2p_9142,iql_op_2p_700,iql_2p_488,iql_op_2p_612,iql_2p_310,vdn_2p_7141,vdn_2p_710,vdn_op_2p_7771,iql_aux_2p_8141,iql_aux_2p_841,sad_2p_2019,sad_aux_2p_20018,sad_op_2p_2506,vdn_2p_725,sad_2p_2001,iql_op_2p_710,sad_aux_2p_20000
iql_op_2p_600,0.0326818417133701,0.18599948387025164,0.1596165487336123,0.18531099625584374,0.06027895032141694,0.1779163844390163,0.1846600957515266,0.1780315677376097,0.17940983488050993,0.17696030272561342,0.18217231149127483,0.15812720605985645,0.1860280933582842,0.1737634390219667,0.15738257421540244,0.18082612233446393,0.16448464692509776,0.18480476024011774,0.15150910203680834,0.14847580374019295,0.17535582608154407,0.15647674433767633,0.1885559980679676,0.1806556909335177,0.023540753472947165,0.18695349986323098,0.08586349869069747,0.15178157295564207,0.17484353852219692,0.18848126893869516,0.18070363203220244,0.17926047249742483,0.1852676117484191,0.1352375412211992,0.17932217065630476,0.18626924320177757,0.1797394307406223,0.17812708478312142,0.03253281192660498,0.13272718664265462,0.1812470153010955,0.1910555450550868,0.17827913028814196,0.15945050038828373,0.1195002666973624,0.18588063035383953,0.1785057898220671,0.14704947567501314,0.18236590314428194,0.1467210897764367,0.18467164493891433,0.18524296107984678,0.1823737910629339,0.14944563919390244,0.17571451751823655,0.16171676199797938,0.17772085633874762,0.04590536118129542,0.15904281464086606,0.18564650189719886,0.13059402232363723,0.13146729715873154,0.18555115886341306,0.17943952236111524,0.0079788238249525,0.08151009117258405,0.1752174140466215,0.17932508489911297,0.022973639483353764,0.1898098064632848,0.17878227592573367,0.15179854083620173,0.18126935871075234,0.18086350070948223,0.17994012491813924,0.18592578915813177,0.18247294837561231,0.016423109282913465,0.11926259712950271,0.19149910704752643,0.1833677769664824,0.18127175384141,0.17649425035226332,0.1819184162892399,0.18136731544330448,0.18329694628803425,0.17540692994883092,0.1623972901616645,0.06699170070212401,0.17596279057421962,0.09920582121510291,0.18022475309909466,0.1845053543336284,0.04619967893106328,0.18052551927943902,0.004147998178505976,0.07186695938922037,0.12463972242991962,0.18411267524313796,0.17711029321573313
iql_op_2p_618,0.1855611021459768,0.03440242831653129,0.1018890347751288,0.1226211254531918,0.0922593765183548,0.1556297272374401,0.11225679819387661,0.09178801483127667,0.09907124989398061,0.11203749306304499,0.11662955346197952,0.12393108957385536,0.08558906969848341,0.15045557040756802,0.1482976806092195,0.1194202141831757,0.12070829484523606,0.12204557117914785,0.1625473878482712,0.13547367094206356,0.097663139678447,0.08419395047327506,0.16201640474781376,0.13779528562596308,0.03250413990726583,0.11507539493096915,0.09394530796633162,0.15773267575236272,0.13019026020348778,0.17297451064631844,0.1729610099501126,0.11271175281319257,0.10479192770013877,0.18439489739465453,0.054442630355264796,0.11413860563497479,0.1065114280079668,0.09676643108632861,0.04018649810109895,0.11909166031068487,0.0702058874285457,0.08274008836242695,0.11818219205328068,0.17612116872787917,0.1897025211179823,0.10981418582044583,0.13127220179064172,0.1109594894377957,0.10937167349438776,0.13459565991021652,0.1034084227173439,0.1176096972570242,0.08176468041252875,0.16867358077616024,0.15599833320572037,0.1657412788611169,0.12370901326485051,0.14987661295582813,0.07082473908647081,0.10252003309200199,0.15624574364573074,0.17470517980830405,0.11518038011294701,0.12556772394328208,0.02315102109579139,0.14268263617787086,0.12028869578365763,0.0848576217140391,0.04100547343772356,0.1211194621483728,0.12437485216816078,0.1515992249320556,0.08044269158618221,0.12623973430944202,0.0959538683527238,0.09917231076375212,0.08040640844185568,0.16115934959834927,0.169611002001639,0.13199000579449047,0.10400019586876141,0.08740478819835902,0.10830138400675116,0.10525611075776954,0.06249314955049665,0.0849815003833623,0.08092328122638408,0.09151087043301144,0.06679367873173717,0.07037881599416647,0.18239007029095838,0.12336827598097705,0.09426628948533687,0.17461527223097154,0.1306308793112472,0.0038981049526946067,0.13193086278636834,0.190543572930669,0.15044779960972315,0.0851162079268799
iql_aux_2p_804,0.15492354099863442,0.10455091246037165,0.03680012026952971,0.1170630901440504,0.10436606444341669,0.13326124037087897,0.10035158564138756,0.10741231807420447,0.11624643746034635,0.10283769574755487,0.12935066550531027,0.12308334649815622,0.09420044114074579,0.1472876851104164,0.15626970690538936,0.15523464485404978,0.16417064010983837,0.13417147679438124,0.1564443527856423,0.12690013206659212,0.10439065943741221,0.10212246080074648,0.16302226330576242,0.15196053569070955,0.03958078050247601,0.13371468782725682,0.0594259938136565,0.16425677448118528,0.11230235312992563,0.16479337230470026,0.17740880557710853,0.14338325216007622,0.11011034448662381,0.16243054344686667,0.10637302898900781,0.1293902553718215,0.13058068585559857,0.13342384205841784,0.051022643847464286,0.14798362822360528,0.10482549873568542,0.1345352141703125,0.11028830081335143,0.17887089809464585,0.18608928950013934,0.12127284191106096,0.1126623108954201,0.11186120699165385,0.1104772971482611,0.11996548330742966,0.11743359100485813,0.1814658090436098,0.10778124278507971,0.14939566841358132,0.13361841731005664,0.16443308568127846,0.12753561361729807,0.15821613159313525,0.12198961689270783,0.13380056455065528,0.16784304738521508,0.15041348823973347,0.11487774354923133,0.12641374031623595,0.043325657012393416,0.15799676215622854,0.1029360851675914,0.13126495174095618,0.029380249727905206,0.15208599857634153,0.12304084221042966,0.14886932674142261,0.12810242993618642,0.11785404517012965,0.15109161851401678,0.13475045523182913,0.12221579442693734,0.16553372756922669,0.12366708655214732,0.12274092543963394,0.14951788187370765,0.1189563480472595,0.09594048135673992,0.12285978216680213,0.11871571957442735,0.1390154667653927,0.09492364104705228,0.13819642006404695,0.09498706169204776,0.11454941663689017,0.18586534313254252,0.1296787242323062,0.10307018464601177,0.1828828449116072,0.14406637860529584,0.004954006982754987,0.14900245635559164,0.1726985230158378,0.14953689981876517,0.0928808075299058
sad_aux_op_2p_25018,0.18463133145692132,0.12737381497286143,0.11464530792679492,0.03406821859913604,0.08018995757759383,0.13744021932785502,0.09098791047085239,0.1145048882993405,0.0793082117087786,0.08646339495223783,0.10654348286376197,0.144442012458159,0.08006755827979825,0.1709259071666456,0.13602613787498777,0.1612921320209137,0.17128792091636771,0.13355835179176678,0.1714764210116451,0.1484006577553557,0.08564074488924758,0.1400798659759919,0.09235677921336725,0.11233881028520952,0.01652459334401864,0.11998733868389799,0.18422770893853274,0.17597511177141772,0.08543748071608333,0.1833002572183037,0.18900411038054368,0.17584958682119553,0.09297488131509261,0.17280884740296354,0.127142348774324,0.10295744518255354,0.11075402024305933,0.08222261358765717,0.030515205074531954,0.1510068386972369,0.13388566930199977,0.14600090055531495,0.1058331153103616,0.18801997490416533,0.17787302743499053,0.06235073999382668,0.07124363103438064,0.12820977471836276,0.08819701662040923,0.14434576543840832,0.08534562389788079,0.19549907407188138,0.09245092311699858,0.14590369413747878,0.12428935400314267,0.16172633389177557,0.08402503837591552,0.12510560146739438,0.12577711974700267,0.10121782598088291,0.17598135160042128,0.16624751025704618,0.09535058973579011,0.0909098788585381,0.020333310564650275,0.1512883614039636,0.0679659716056226,0.16682160620344205,0.03443434117057929,0.059220671753729394,0.07721361398863018,0.14786955199569454,0.14393143377882966,0.07559829412145537,0.14728464957353837,0.06298169016703423,0.1362599627346362,0.042817829446604574,0.19148841411620898,0.10171529693035178,0.0895273481907851,0.09451339626779937,0.0702762074484198,0.09370133087319202,0.14491690990970574,0.14771857314451642,0.12919062559156816,0.14378361198020473,0.06577638774807555,0.1282838865779937,0.15565938300828036,0.07806350311457025,0.0920734487404646,0.15677669316106432,0.06740315411896675,0.0,0.12748501727508854,0.17808204840174924,0.18964526377970548,0.0703814201071298
sad_2p_9,0.06917796668068579,0.10016825678161055,0.11827885929258683,0.0884186305154192,0.033186155078419204,0.08199727095729738,0.09159946445743494,0.10472228511639727,0.0891256615995391,0.07508442556857554,0.08881878659299423,0.08763067617796526,0.10494505370095483,0.08604979092664036,0.08506027840868476,0.06444311847294884,0.05031871715670319,0.10022011034976223,0.030032495363818464,0.03426427791068624,0.09142816953863392,0.07974261837427452,0.0667328293909266,0.06130998075958548,0.0,0.08330123826388355,0.0069988332360949035,0.030131179249457903,0.10196198837838577,0.06826010276603478,0.05128387769183519,0.05335152467535661,0.08910772423599717,0.04201426168796954,0.09831111538075137,0.07425643231896305,0.06897483276931925,0.07552828658240615,0.01097404344941415,0.04278371271960948,0.08671739968084495,0.05899249920933137,0.09528335208831176,0.01798986443034583,0.04459811281508072,0.08427730154410233,0.08645361505197775,0.08651597476124794,0.08392889759702465,0.09023793055645231,0.08229934161115524,0.06305394251485522,0.0729758354221146,0.07001011329060225,0.07986535683400045,0.059293514728753334,0.09664857991714106,0.03399754021603241,0.07942008701973463,0.09469324744199614,0.036154014171883325,0.016099403025509294,0.09055154271954115,0.09259867989619786,0.002210245503374045,0.040850871970384436,0.07320116473471251,0.06845663672070891,0.029225749681478567,0.05525516533588779,0.10145139613518277,0.17189671306619844,0.08906293883582596,0.0935389037701347,0.07145999554270181,0.07905285409610927,0.0682633655343338,0.01971575418194706,0.009217342751976157,0.08803250157375589,0.07497356941690259,0.08487911316603072,0.09383053262052737,0.09141666737567102,0.0921713468773522,0.07174374046769723,0.1012968326074231,0.08496754739964613,0.06725050901638562,0.07063391693954273,0.04156759956183822,0.09044617286090764,0.10166799980910995,0.03183839750294533,0.06060262523344334,0.0,0.028009204175030007,0.020991863503113134,0.08176954404503753,0.08520326458708198
iql_2p_7,0.1743610808595729,0.16024756299065657,0.14137122644536498,0.14544388952444856,0.07514180076510159,0.02610307133908447,0.11072426195367113,0.13981501217548004,0.1352874465173513,0.1767226149354678,0.17907834163975397,0.15228052622271393,0.1629384228155828,0.16900249559849262,0.13502283757448835,0.19166744338006872,0.16475628285665084,0.1587459744604801,0.19762036782117823,0.1332470274840431,0.14773029466890997,0.11038313008520552,0.16391204100121864,0.16669903852285545,0.03439335853200601,0.13354205829375754,0.1750236782922898,0.19240521966816687,0.13401694530778424,0.16569308966569174,0.20314834426541056,0.17975276683596608,0.13871415840043416,0.17868381965753757,0.16521345553219594,0.17215255766648113,0.15017634621658288,0.1377021034563245,0.037049092056651294,0.17674888610891085,0.17234293289403693,0.17936069142827707,0.15436010698891608,0.182387095060052,0.18755339980330343,0.1510039052720406,0.16378570450439195,0.13665229179143631,0.13976556880083957,0.133420126750885,0.15012607590510937,0.19324762458412625,0.16826118574891127,0.141331633113463,0.1343127163666113,0.15175882425987866,0.17274576470125752,0.1068303908417797,0.14269840716492743,0.16059729069252002,0.12509031270779256,0.17107682906941094,0.14379298069202232,0.14488301474970405,0.022915222176697465,0.173064862171726,0.15868928130154222,0.18525763282121063,0.021816873354423703,0.16162258918026692,0.14389204749857903,0.13385640509585328,0.18049001931983402,0.14632950830232433,0.18376622337048734,0.13909120429096555,0.18061058159804808,0.023647334827511628,0.18471639673353912,0.17463093103477997,0.1557787033179035,0.13042699731892024,0.15555848060741942,0.13031933371814305,0.17898876428631136,0.18496964225395351,0.09608856080990347,0.15485830931197384,0.052581830054229305,0.17003669277214517,0.16474877743603034,0.1621617733645656,0.14317605634711103,0.1695094489882387,0.13729332089713236,0.0059218490605803436,0.11123859175796992,0.16449309059000577,0.1360614763014621,0.1439084786321578
vdn_aux_2p_971,0.18460678922951243,0.11743859609111415,0.10234622267722585,0.09405315104887353,0.08108540878924221,0.11105633788841222,0.025811450229751967,0.11426975864479953,0.08291840679357743,0.10424252633304842,0.1427603036431917,0.12917528946128748,0.08554530876589231,0.13667368423717477,0.1570416217534796,0.1584814656764726,0.16602719812885636,0.1188118861743062,0.17991357585734818,0.1477707682965848,0.07591520391321613,0.1187305631656383,0.13246294226716418,0.11282719070757263,0.04504610806553494,0.05735721853889463,0.1579953229499977,0.1786795501159258,0.08206455995129688,0.18208214985631155,0.1921902644275738,0.16120032349935373,0.08692776375307897,0.16488783785978295,0.11937981714151157,0.09301361728263234,0.1283516349143445,0.07870637321834353,0.07746434281272518,0.16668535184148162,0.12483606791249013,0.1453140954392702,0.0896215001899449,0.18879338412372634,0.18905309620629115,0.07690817612943084,0.0993343169227962,0.11853613982429344,0.06525804165005258,0.12776551424241842,0.08391138160561393,0.16997389505450533,0.0894628207486009,0.13415410210318246,0.10534724169779354,0.1621078423629022,0.13685845066534444,0.12948699405588823,0.123709981033898,0.09123619814444184,0.16465236903740446,0.1704918566535809,0.07599929726770628,0.08587686188611812,0.05161261653108846,0.16650223344069814,0.08813897779874354,0.15536430008448124,0.020146515184370568,0.11276876225595783,0.0818257314866988,0.14667218726983833,0.12622423081343948,0.08038746447328989,0.15129998408851597,0.06479608927385344,0.13805712773529122,0.05944639384134869,0.193746476574892,0.1159102328272792,0.09961240366020169,0.07465457020070407,0.07891680007028498,0.08462305766686104,0.1406087715245021,0.15793661691629007,0.09194561597105268,0.13827116193271183,0.08992962495443003,0.12446584181122858,0.15872389257472885,0.08866607330628527,0.06465900985597874,0.15702687090171918,0.09565521108338743,0.006139417272383791,0.11418478185558444,0.1720133843844932,0.16153584351697534,0.08054414570536712
iql_op_2p_6110,0.17711922904161562,0.08501220631310671,0.10868797064515909,0.11252226380522146,0.10199660106900439,0.1320078772902082,0.10658014390154516,0.03201069034395066,0.09908383207051377,0.11001893961529564,0.1205717705429088,0.12427895504334861,0.0944656863040167,0.1576062311937923,0.14082275055570415,0.11967119010330238,0.13313795629874828,0.11612321935803395,0.1442177669231371,0.14389568739837844,0.10582968130181837,0.08398882443295434,0.1475709978532618,0.13713792732541613,0.03457245692423057,0.12785173342876796,0.19552388278862698,0.14279667544630903,0.12905881461422783,0.17691562793435578,0.16028423087336652,0.12136425186037952,0.1222637330012764,0.16058572188732745,0.09511731469903656,0.11252062263655724,0.13085870242364472,0.11169501713080959,0.046937114746655885,0.1423689935812336,0.10117911345727437,0.11939002005565158,0.12253899817639312,0.18001006391619084,0.17665924470782937,0.10528995661012953,0.12098209218570172,0.105484487888908,0.09720461789822918,0.1325260360164078,0.11072413350638939,0.14294368277207792,0.09271820609104092,0.1655604510834727,0.13864134263952038,0.17002167138556407,0.1173244763071233,0.12478159749768421,0.09341030139876119,0.11397366492438633,0.1650233096890883,0.18236193519319596,0.1264354906515425,0.12562718212587945,0.028301466393104085,0.1323011575773103,0.09923893725079216,0.12016773446898052,0.027304341670768666,0.11709674632542101,0.1229857564773104,0.15198663671764284,0.09293770434483996,0.11893855494267555,0.11163232705826949,0.10128528392980264,0.09484187053937415,0.03663149828585594,0.17828437541893152,0.13167855079981985,0.10925681604299045,0.09864103195519187,0.10412859499818623,0.09949533694638193,0.09951669858016941,0.15187110019379615,0.0790174643143316,0.08841166254558316,0.058581399841651165,0.10189253143858466,0.16845346692341634,0.11876628527708745,0.1070171282587079,0.17801196703426264,0.11989508747233975,0.00392857999037066,0.12033663876654369,0.16894238323124203,0.16011026015657898,0.08708279500099424
iql_aux_2p_800,0.17913221177749217,0.09631929232544265,0.11796000436431676,0.08126348890879366,0.0868393757761143,0.13092504160212637,0.08510496786648565,0.10664197196781944,0.03304116400066012,0.08465275126241495,0.12032525042105205,0.13713544750706494,0.06941426659849838,0.1433358010123495,0.15365276437474204,0.12086024987563114,0.16375092694111404,0.14129492088064124,0.16479143170372348,0.1568863405521712,0.06827362269248317,0.12470940666650254,0.1491561428938244,0.09571786937933019,0.050032167060209784,0.09555101410396592,0.17254613382019396,0.1613622470647263,0.08937734715902675,0.16934875159465057,0.17873820862429562,0.1642310376900199,0.08538505377059505,0.1718095690000996,0.108779123133208,0.09047076855516903,0.13732516642383266,0.08115060324734134,0.06937410953716144,0.14316250854134907,0.11106801653174642,0.1232742200678363,0.09274912079048192,0.18625924973302965,0.1901995953572827,0.0927520787428029,0.08775595368638762,0.12908238827571697,0.05791995881930192,0.1351500296652521,0.07180738407300051,0.1760276441884016,0.07269049048814713,0.15272788571205348,0.13019763765849152,0.178913361093513,0.12057876340875778,0.14868796857849664,0.12426631959298216,0.08675872973473726,0.1725802614137249,0.17514269314751033,0.0923013420310926,0.09301661420691745,0.0519526675606428,0.16184579354709494,0.08624693231259493,0.14127088557488096,0.04417358184858155,0.09279061175372015,0.08781378951867198,0.1491969118933717,0.12485917341222943,0.08537097780775298,0.13546175502360094,0.07641625748103217,0.11461434707555401,0.06514839783709757,0.18863995089607627,0.08161795009541575,0.08003321440131846,0.07608132856066299,0.06756080279329187,0.07140494821529969,0.1177611328385024,0.1483516822608683,0.09916316221632275,0.1204766920749957,0.07158509155776314,0.10811659755406043,0.16126440217049579,0.07570468330343952,0.08692261351766144,0.1673650477914138,0.10795433859841957,0.007683457458626196,0.1241156078465199,0.1764469828042994,0.1688402838319234,0.07054391198763021
sad_aux_op_2p_25000,0.17601952753621988,0.11420173427365765,0.10096492680354126,0.08067845276615523,0.07387087808893048,0.16243041028448207,0.1077952914178159,0.11270470741754345,0.08372583476685919,0.04332102218280361,0.11908480576027726,0.14052938522284625,0.07194680107680386,0.12037157225610791,0.13296487631451145,0.12863356381886004,0.158396251358561,0.14277176801013824,0.1040078565408509,0.13928736668671182,0.0799461402028474,0.12120817583351748,0.15478135965385592,0.09899810529425222,0.020716061938076506,0.12728658114954908,0.18651950141314289,0.11230242749924073,0.0866737584705279,0.17489079756829426,0.1566024538618586,0.15747084092218705,0.07163909133571843,0.11934420667408478,0.11441448869012273,0.07299000210581863,0.13853230670136116,0.07484631562717674,0.04182279681385898,0.1152170857635787,0.1060396676301426,0.1275450176154228,0.10616974092880178,0.18665682265710098,0.1750963074678872,0.08443984293018357,0.06569112460486463,0.13340323945203242,0.07973920825624828,0.14366833409705224,0.0960800314552636,0.18330541201523232,0.058816338118159214,0.16918291832171428,0.12478511885993812,0.17670523687978446,0.11345769386117582,0.14395096696059004,0.10715859465020716,0.09588470777545909,0.17720431355003954,0.1828688028999864,0.09993473258971466,0.07737280218861482,0.03270400360585614,0.10313408676015826,0.05795786975611393,0.1403643986465493,0.03321712186787388,0.07233131077561444,0.1022289657799806,0.14518334653503173,0.1465082472713346,0.08071816170868629,0.15504214182195994,0.09968561228329942,0.11174752478823097,0.04413443939533776,0.1837464964644577,0.08351100504103014,0.07293097472318653,0.07529815083067126,0.06282954601023194,0.0862031998632688,0.13737075528440326,0.14987465268856678,0.10429906501480712,0.1154495881647371,0.0695654317624515,0.08794867105727487,0.14859605896772884,0.10770742245477723,0.07533101176363777,0.15947437922634983,0.07565800244080816,0.0,0.1232665278528153,0.15373629369800743,0.1868634137743593,0.04312331628489868
