,iql_2p_801,iql_2p_5,iql_2p_800,iql_2p_802,iql_2p_803,iql_2p_804,iql_2p_210,iql_2p_11,iql_2p_6,iql_2p_113,iql_2p_805
iql_2p_801,0.030346502269619144,0.1293683494831715,0.06774260367006867,0.05316083302582832,0.053559441296563204,0.0832556290469299,0.14222322372945986,0.14015475286981885,0.10763798571136492,0.14037531746001503,0.06732197881821358
iql_2p_5,0.13387943827190193,0.025536774424347333,0.1304042416181314,0.13586362783320632,0.12933269442797518,0.12746918281686753,0.13782351509085813,0.1207608226537067,0.12624098656141752,0.12637294330670626,0.13295357911692335
iql_2p_800,0.06370678073800308,0.1303822846555467,0.024601877001562297,0.05490223339719432,0.048763648673986644,0.09047753201762303,0.13079074107902286,0.13340004410793874,0.11498194418255415,0.1277204822728132,0.0396181888531013
iql_2p_802,0.05231690480141194,0.13376937814014087,0.05501166647175851,0.026988345781095956,0.04889094345581806,0.08360991859821416,0.13691964358703246,0.1379563197827486,0.09718451498052556,0.12591562123898686,0.05570470996244393
iql_2p_803,0.05147963628465144,0.12684006925258282,0.05434759564138969,0.05508082432208145,0.026204366048427886,0.07408236491905479,0.137869793646034,0.14042580549172579,0.10309791691397066,0.13387827294972102,0.04525543494432465
iql_2p_804,0.08805101866531699,0.12362988777799645,0.09097027488141388,0.08196525605401353,0.07618155241264121,0.02890457458604087,0.1276928314354412,0.13441980615965787,0.10987549186238028,0.1196216300173175,0.09166620472126027
iql_2p_210,0.14354133261189964,0.1383379860775774,0.1330846673061927,0.13938366156763138,0.13916825474223637,0.128679850015455,0.023353640230165403,0.12973964004883007,0.11767748437148035,0.11837763812477423,0.14160219091525386
iql_2p_11,0.14054095158351534,0.12446664144259698,0.13081674510551008,0.13734200088829346,0.13929526671068188,0.1334672326827825,0.1327029522203632,0.02325703265681157,0.12492006631442362,0.12604878341340706,0.138549704467386
iql_2p_6,0.10445155658007207,0.1254857115372105,0.11086975273716453,0.09297151903674587,0.10225875066711895,0.1087451817415374,0.11645674218352496,0.12282262589604571,0.026368798379903472,0.12747240818310446,0.10915914690029416
iql_2p_113,0.13919121739535148,0.1256538641188563,0.12655231958364097,0.12218285048238152,0.13335253920342124,0.1199317282790505,0.1215579952450681,0.12448942043402723,0.12766738834957028,0.030941512697345613,0.12748039005274495
iql_2p_805,0.06763491737261161,0.1321354348840613,0.04100383747894824,0.05481290643634946,0.040723437870592405,0.08962072862903982,0.1400112068657363,0.14014882729441586,0.11037704076482571,0.1281514401323684,0.027329482395391243
