,iql_2p_801,iql_2p_12,iql_2p_420,iql_2p_514,iql_2p_5,iql_2p_616,iql_2p_280,iql_2p_510,iql_2p_292,iql_2p_106,iql_2p_800,iql_2p_802,iql_2p_204,iql_2p_310,vdn_2p_726,iql_2p_492,iql_2p_3,vdn_2p_730,iql_2p_803,iql_2p_432,iql_2p_212,iql_2p_101,iql_2p_804,iql_2p_210,iql_2p_700,iql_2p_10,vdn_2p_724,vdn_2p_727,iql_2p_7,iql_2p_614,iql_2p_9,vdn_2p_720,iql_2p_602,iql_2p_232,iql_2p_224,vdn_2p_725,iql_2p_604,iql_2p_112,iql_2p_220,iql_2p_11,iql_2p_111,iql_2p_706,iql_2p_102,iql_2p_214,iql_2p_107,iql_2p_428,iql_2p_208,iql_2p_710,iql_2p_288,iql_2p_6,iql_2p_110,vdn_2p_721,iql_2p_2,iql_2p_8,iql_2p_105,iql_2p_4,iql_2p_113,iql_2p_518,iql_2p_314,iql_2p_805,iql_2p_606,vdn_2p_729,iql_2p_612,iql_2p_608,iql_2p_610,iql_2p_228,iql_2p_488,iql_2p_284,iql_2p_484,iql_2p_200,vdn_2p_728,iql_2p_618,vdn_2p_722,iql_2p_424,iql_2p_480,iql_2p_600,vdn_2p_723,iql_2p_206,iql_2p_318,iql_2p_202,iql_2p_1
iql_2p_801,0.030346502269619144,0.11278431720766854,0.06328535950755118,0.09821043166588769,0.1293683494831715,0.11439251220250389,0.10581500048669848,0.10752410944527742,0.0816009172007276,0.09070821400512745,0.06774260367006867,0.05316083302582832,0.04191922556536559,0.11424766416868222,0.14981054251286854,0.13320791856342473,0.11187229733942178,0.14218186663565788,0.053559441296563204,0.07613977441521612,0.126720719694926,0.10064177168551834,0.0832556290469299,0.14222360982621698,0.10769837510380553,0.08120180470900877,0.1261374018758909,0.0798577687642223,0.09315535686153534,0.07308734500582162,0.10262757208469857,0.1294545415503064,0.10171703165153807,0.1300866315652765,0.10268260904359608,0.09899218215596624,0.11786143443892066,0.09449563422719592,0.10578466334965574,0.1401601428081464,0.12748789806095323,0.10656282278543489,0.09830807348331062,0.09750207792657549,0.0976792166635257,0.09791165646642896,0.11728252790590761,0.1274200825301883,0.1203914394298864,0.10763798571136492,0.12133410086204124,0.08864444352580707,0.09972704150830906,0.07814573790041271,0.11181981777842423,0.10946955434274865,0.14037531746001503,0.08117324859829128,0.12042774152162782,0.06732197881821358,0.1378725078034051,0.10063375672208605,0.07175036585272579,0.09815660951764786,0.12190318253433748,0.051292465255629895,0.11746135487044239,0.12102074529600286,0.08506984894779113,0.11819371891940789,0.1201944962467084,0.0925309630772316,0.12994269971029537,0.11120583290457384,0.1102850731876259,0.14330645328107175,0.12577463973313538,0.08505336560066273,0.11953079037637122,0.08944532649613395,0.10493862267058776
iql_2p_12,0.11053025417504476,0.026616917327143653,0.06060707179859459,0.12778735386570925,0.13647752960835713,0.09139291171639079,0.07765699345197442,0.07367742970543963,0.13694076255081974,0.09333714047473278,0.0884835404354957,0.07146819398865484,0.0491013984322239,0.08022184660053644,0.1418434268903568,0.11578425174435424,0.1009096688727101,0.13155746072344204,0.10459191494565916,0.11450508736296391,0.07808484610985668,0.09464851204324345,0.09072473338621613,0.12958352237842588,0.08302734084625377,0.09102227859156241,0.13290764164637037,0.1357407245007923,0.1444459994323138,0.11325018025592717,0.10185257388991208,0.13797775980207824,0.14708490280106928,0.11361833904788435,0.11122965057933068,0.09819661191711249,0.11337506177286076,0.12023535905880599,0.06990484818666012,0.1349084710164636,0.08083126207105763,0.13827649908787826,0.1214398714096816,0.07361504867892162,0.10658636070342208,0.08133080125020287,0.1250053898357987,0.1497682416268549,0.09799047398599518,0.11828981021203812,0.13310857279679622,0.046232095431637095,0.08822899183375042,0.12155320806955283,0.10115011414724155,0.11262271085353966,0.14231594707551223,0.11981644294503153,0.05974878502530406,0.08087671605598239,0.14601347770668294,0.09323988845982174,0.10028189511571867,0.08409623967812116,0.09486966684878788,0.03072801978650756,0.08893903417510221,0.08747025204033654,0.10132624974802926,0.08526706168269198,0.09260719449373249,0.07459204885240786,0.10014365581503404,0.11142353920065544,0.1213370306213235,0.13484069545949398,0.07945173951525542,0.11066626148921811,0.0806543419289997,0.11051919652259509,0.10762650023112337
iql_2p_420,0.06574157990191595,0.061856852554910996,0.026518543549750237,0.06395679535436402,0.06512027463087054,0.06222282539390187,0.05630021214880101,0.06079012913294394,0.05339102426438362,0.06434634883192675,0.06823498170293592,0.06924521291757285,0.03157048634405241,0.060110414671669,0.027187764306761234,0.060350072079492986,0.0550940327803293,0.0396314258133618,0.06737831484980905,0.061124919631849,0.05482423960256995,0.06274837903882458,0.07358741109727941,0.060220639385512996,0.062431507686423846,0.062499811455715606,0.045408886443074115,0.05978882778579958,0.06334413633478635,0.06187625838720373,0.06502146722429447,0.050851468022073854,0.06825171710660473,0.059952914257774,0.05251598453804327,0.03697237714835225,0.06532213584995518,0.06556998801280965,0.05848263735503042,0.04840414849989616,0.05922727587860175,0.06442965155889017,0.06178213586466561,0.060621190750429835,0.06339949368883004,0.05970730467874094,0.07264551691604926,0.06251488648314096,0.05950007704196692,0.06922101415032865,0.060130057375658644,0.030791466869897578,0.06525813751556199,0.061562285532621365,0.06044855472217677,0.05966013074072164,0.05295542910788279,0.06323916349857894,0.06254045730565136,0.07275880152943696,0.05697610755395632,0.06361753412385614,0.06282593088844765,0.06429157556009962,0.06169853670874212,0.023371910491014634,0.04851277571939169,0.04842752803932904,0.05921536820792386,0.05958547950633611,0.06485883033172893,0.06651565776567198,0.06071294188227086,0.06699629864402958,0.06437472572368755,0.06399220196242664,0.05876681403649512,0.062359689479663055,0.05769741068713569,0.06199853391815003,0.06559704871409994
iql_2p_514,0.09452918444586307,0.126055206667555,0.06250265811947521,0.022070199092894472,0.13523705007134693,0.12837046236576388,0.11801529609334543,0.10389696680846848,0.11688517822204833,0.0977164465583967,0.08906875506034649,0.08906542992654332,0.04298949071575517,0.10418513947775854,0.14230647015508463,0.12777061042352422,0.11838733847840317,0.13441520149149797,0.08313179853702192,0.10156528064255028,0.12854849369790375,0.11831528722865867,0.10251322552724601,0.13689678167144764,0.1238871005714477,0.11770487242251274,0.12793237935722135,0.09738651339893015,0.10180436607533096,0.07540747443058943,0.12278997975404994,0.12995609400101252,0.1089425932865562,0.13733896096883796,0.1218967733453187,0.09186207121549134,0.12470613534225171,0.09693361518069982,0.1124046290505867,0.1344104340890245,0.1284974792281934,0.10493885091804656,0.09514222410686013,0.1232617272635752,0.10150515726799303,0.13327639262825206,0.12266558633944566,0.11800401345717018,0.13524141587546326,0.11430137255518852,0.11835649687279527,0.06655295130946487,0.09065788521689659,0.07657367563334021,0.11750203525045853,0.11914096941019071,0.138393132661993,0.07351638288164075,0.11404468050724681,0.08651912509959864,0.1440841287304053,0.09866983733644238,0.0750644160171782,0.10514663650350399,0.12796055442205617,0.028999805654521205,0.1455670412971288,0.13528366452754004,0.07815272796262454,0.133785625266693,0.12633186134938404,0.09995402527162175,0.12688392415117053,0.10827126787841732,0.10331612071695298,0.1425565705535876,0.11156422075199557,0.09802407177831371,0.14584237735308625,0.07917592760429144,0.12919799995355966
iql_2p_5,0.13387943827190193,0.13600694896952875,0.06559370549069475,0.13530384130541157,0.025536774424347333,0.1379521294072694,0.12973194209600036,0.12208142774394473,0.13554394118513743,0.13318349179984731,0.1304042416181314,0.13586362783320632,0.04047965652028189,0.12212347191265076,0.11897355265772304,0.13752602243939144,0.08895768877393342,0.13510011313096668,0.12933269442797518,0.13939146189060503,0.1377348692234468,0.12977694584170177,0.12746918281686753,0.13782351509085813,0.13370174520925296,0.13623786184464287,0.10992935764389783,0.14067362635547576,0.1334507399754681,0.13049042481347048,0.13240993240690063,0.12629091593618286,0.13576917871151759,0.137472047369638,0.1361769787005131,0.06294002834444865,0.13214504891217074,0.1350072731670409,0.11980138216231064,0.1207608226537067,0.13612770180973452,0.13746132267659875,0.13614756923279975,0.13519601366904277,0.13067335263166702,0.13460571589646556,0.1254854991144395,0.1328210920298429,0.1327970934621688,0.12624821110811826,0.13637296737990268,0.09158292574492258,0.13472374994780986,0.1332220511476985,0.13885627262749062,0.08456807435433301,0.12637294330670626,0.13064401950338178,0.12711318786026884,0.13295357911692335,0.1251930686899239,0.12657072824314475,0.12892825601860905,0.12198877325393515,0.06169108687646862,0.02686295158764204,0.13348634686738567,0.1384939657602453,0.1308030206073239,0.13604683778757962,0.12918016925209533,0.13110183534947173,0.1377521738775835,0.13850084545590327,0.10273308390192516,0.11388456963083277,0.14067487622173336,0.13177589385012722,0.13102737958152103,0.12953451675904765,0.1358269828568683
iql_2p_616,0.11000498574155627,0.08836268492978244,0.06136011205987159,0.1264744815684176,0.137073479973334,0.028003019265786324,0.055884416718795585,0.06753187194206894,0.1326780041755226,0.10553305722852911,0.09318839601581304,0.10053308593691929,0.052939797884011604,0.06569409586865474,0.14487306971276612,0.11025032516958848,0.10131697267486825,0.09778630349900748,0.10610028523995588,0.07660753879351562,0.09355986900375608,0.1070431186391727,0.09058096819972725,0.14306605746996734,0.04154319198135839,0.062434106320183674,0.1305636346307807,0.14737182837978227,0.13675072138749395,0.08620976817043415,0.13778520048249013,0.13379110583293644,0.12099231195410723,0.11491860075723163,0.10415730503426054,0.07878186466440103,0.09918480331179771,0.11567855268804152,0.06153388113876777,0.1394475197054433,0.06718586464428362,0.11949317607294568,0.09233371262978654,0.06727403487230417,0.10501942509840738,0.08889025035401801,0.1335097779190723,0.09871973253610446,0.07151798425571011,0.13057376152964267,0.13079971021374626,0.046764265930301946,0.08663527221634384,0.09705374836656233,0.08136612838276133,0.11361372871268681,0.143858607361534,0.09333624200705747,0.07254847753054505,0.08636238880438638,0.14898947396376697,0.10509412329906939,0.07417170220508627,0.060109158303872465,0.10364966496810302,0.030719583330507595,0.08185468959076199,0.10831671926346365,0.09984143328298127,0.09700022268015678,0.12249261998994061,0.047529964527653505,0.07771510144109701,0.11925598202186756,0.12087843811035943,0.14585720918761608,0.08420353241996442,0.10223205540338118,0.1001747982278976,0.09679592218683596,0.13809186041182875
iql_2p_280,0.09940662026243523,0.0799632671168456,0.05517935382006571,0.11643545078712067,0.13031782315554538,0.053042202065902204,0.030384763418529356,0.05329814938625918,0.11466958390087584,0.09284445275836355,0.08218943849424937,0.09141607346632209,0.0448496609574699,0.053940147867798806,0.09978496880793218,0.10480602391084207,0.10163174921253693,0.06826385509184199,0.1018608160579916,0.06406920002622164,0.10888303004600855,0.0795485799244713,0.08775565709400163,0.13510076346194347,0.05908721140822268,0.06356335422238193,0.12003679582528017,0.12825706608214615,0.12530209176226867,0.07337639505999188,0.11684779840459124,0.11667690828951545,0.1294965956618165,0.11201368170004948,0.09222865112317322,0.09586680088539515,0.084128050542016,0.0967822297738588,0.04806679053150938,0.13184487779204773,0.08216869106904405,0.11694176242899712,0.09093529088313294,0.06292721986549223,0.08917440547601088,0.08510209581438051,0.12402925380731757,0.1278806818874532,0.05498478036693426,0.11494820524044731,0.12569969788348737,0.042807012416191816,0.0756621551900288,0.081053562537374,0.08846416205447266,0.11148588341130909,0.14128632647216785,0.07400348186403125,0.08402712304964391,0.07848179279297841,0.14041498720578227,0.09163835314975931,0.06563868560536537,0.0529689040853216,0.10470883022935554,0.024632463782577656,0.07307866315142882,0.10614559325756297,0.08055515854369602,0.10635352334549146,0.11871275058728949,0.048380485239402055,0.0712327649891537,0.11637427330815002,0.10584172273730241,0.13929410953805618,0.09073211554901604,0.08586868840270008,0.10661107751073524,0.08403197943640266,0.12467043222833551
iql_2p_510,0.1056715993633105,0.07592762401129118,0.059489161634704524,0.10540531128932736,0.12188122582251953,0.07028609962147565,0.0565766323494073,0.02597910791386032,0.11767343285550907,0.09321603020940121,0.09374691884003442,0.08482474563474976,0.040494421838075424,0.05953256614660584,0.13650976108689078,0.09636943710533957,0.09212745675421634,0.09420560509863518,0.0938872930699357,0.07891708656558477,0.08402634058436675,0.07856256024341365,0.09227204282988428,0.12501773438996563,0.0719510409097742,0.07144085912137395,0.0894364176384542,0.1195092968433837,0.10514871997318846,0.07595503406621579,0.109754905093121,0.13145428038675652,0.1141264421245138,0.11589249846301529,0.09108632173932592,0.10190000808635885,0.10292517355827,0.07699314857829884,0.05646738605602352,0.12521691614155014,0.09512575575521069,0.1227576875311685,0.09790928764933385,0.04987551150614898,0.08928919307508608,0.08675852723507932,0.12113775163837241,0.12984463944268165,0.09000536090700376,0.10747462431662647,0.1175918151913644,0.050068883031280015,0.06992270566847368,0.09029644954260384,0.09391093635993626,0.10612885266505052,0.1310393313780256,0.09188326119593274,0.06512020583505553,0.09307097661462459,0.13210225224423694,0.0856579204043619,0.06883937826564095,0.05742898613069884,0.10681107504374254,0.018194043860560522,0.0843168113249072,0.11003491576767803,0.08393435106081418,0.07517109572169345,0.11120720692473127,0.054564127703098125,0.10885578095810988,0.10899165292810271,0.10554598254789237,0.12296673228154026,0.08065776466032269,0.09499693148728541,0.10107809954683557,0.08541751384815646,0.0971527086601295
iql_2p_292,0.08760990624352934,0.13820777066431542,0.04687064744592291,0.114889350559571,0.1352038323717194,0.13454354286995715,0.1170116914158581,0.11392041428997701,0.024350667341984697,0.11268402491924043,0.11848125505749844,0.10451678429802555,0.03476225895996979,0.1306296283696773,0.13380759189223906,0.12126443749096433,0.08789125553773822,0.14677015061653373,0.10470768453174771,0.09872802686167692,0.1311468304153783,0.10548084091435753,0.10687731100659298,0.12134616981182388,0.1289495831710983,0.10265520662879209,0.12363039623005337,0.08323128599270829,0.07858858767022092,0.07937521527529862,0.127146072971209,0.10626895689711084,0.07325007986343769,0.14246737102929918,0.12386474400732436,0.0766051467722633,0.14232728300645664,0.10602766699310137,0.1184672495164803,0.12353388199194583,0.1427786491321444,0.0963276535165266,0.1191487943371648,0.12473404792597728,0.12380199594513815,0.13462965747560973,0.12335936053660458,0.12104451267199186,0.14747337047752043,0.13174934477256423,0.13213936291658138,0.05555406332573703,0.14024296345984705,0.08592196999603768,0.12886258740224021,0.09983163426489622,0.13719934693722124,0.0847122255167458,0.12730806277687207,0.12068316084690522,0.14274572837041394,0.11122034346287551,0.06876566841091562,0.09866363966527891,0.10210541627161607,0.03048342119907147,0.1528338809557619,0.14731828410621675,0.08347898149833885,0.13481746165834751,0.12245555468005526,0.10414721749523603,0.14249423935022776,0.11208599498599277,0.11438243050398955,0.13522490418558264,0.12940458597746834,0.08953683916690382,0.1491304925224885,0.09490859198196969,0.11870067197787887
iql_2p_106,0.08804873396023363,0.09561008800330642,0.05977506744454581,0.10097727391844166,0.13289126683119548,0.10836246254123243,0.09889172968453933,0.09096646938295451,0.1163543375727781,0.021396005421573435,0.07769820337691213,0.07609043960971706,0.039523998886752336,0.09735060529858044,0.1378091175793532,0.12161730242033819,0.10809928162573515,0.12443525387927651,0.08916869244303181,0.08757445179959734,0.12277266392809108,0.10983083687198235,0.08335532381317946,0.136423634286732,0.10530778599894691,0.10565798468644005,0.12829904953661972,0.121542158578824,0.12963182815959975,0.09219197362026696,0.09993037059873239,0.13249230848619098,0.14060288130760337,0.12727835561477058,0.07310445436497014,0.10068472837526055,0.10689733856368923,0.11111099283149259,0.09824103220141775,0.132845517380151,0.10602086073976195,0.12590652961621965,0.1001829799516864,0.10419366118915295,0.07241377984886578,0.09242222607143803,0.12154020368585859,0.14555581678517693,0.11274227001440054,0.10209835242549216,0.12249897906513345,0.05724970819139605,0.07622710651730132,0.1030457437840108,0.09965363118321378,0.11869712973783318,0.14107655555761206,0.10646769121193528,0.10731786471971944,0.07181676411535123,0.14197874590233567,0.09291391934473543,0.09266781965709564,0.07930363719275428,0.1123872416602525,0.03352255730101747,0.10760721161706588,0.10545824239005692,0.09637079022193394,0.11459386981859021,0.11620019194476401,0.07595415796386659,0.1163588606338168,0.11103428962262063,0.11188390425794051,0.1387282613168636,0.11729621139661758,0.08022315870121294,0.1127836582488793,0.09218174982066678,0.11193085576372584
