,iql_op_2p_600,iql_op_2p_618,iql_aux_2p_804,sad_aux_op_2p_25018,sad_2p_9,iql_2p_7,vdn_aux_2p_971,iql_op_2p_6110,iql_aux_2p_800,sad_aux_op_2p_25000,vdn_op_2p_77111,sad_aux_op_2p_1,vdn_aux_2p_940,sad_op_2p_2525,iql_op_2p_610,vdn_2p_7110,vdn_op_2p_7711,iql_2p_424,sad_op_2p_2518,vdn_2p_770,iql_aux_2p_8110,iql_op_2p_621,sad_aux_2p_10,sad_aux_2p_20006,vdn_op_2p_7742,sad_aux_op_2p_25025,sad_2p_2007,sad_op_2p_2500,iql_aux_2p_810,iql_2p_210,sad_2p_1,vdn_2p_740,iql_aux_2p_8111,sad_op_2p_2519,iql_op_2p_620,sad_aux_2p_20007,iql_2p_224,sad_aux_op_2p_25024,sad_2p_2006,sad_op_2p_2501,vdn_op_2p_7772,sad_aux_2p_1,iql_aux_2p_811,vdn_2p_726,sad_op_2p_1,vdn_aux_2p_9112,sad_aux_op_2p_25019,vdn_op_2p_729,vdn_aux_2p_970,sad_aux_op_2p_25001,vdn_aux_2p_9141,sad_op_2p_2524,vdn_aux_2p_941,vdn_op_2p_7712,vdn_op_2p_727,vdn_2p_7140,vdn_2p_711,vdn_op_2p_7741,iql_2p_510,iql_aux_2p_8140,vdn_2p_720,sad_2p_2018,iql_aux_2p_840,sad_aux_2p_20019,sad_op_2p_2507,sad_2p_2000,sad_aux_2p_20001,iql_2p_111,sad_2p_2025,sad_aux_op_2p_25007,sad_aux_2p_20024,iql_2p_4,iql_op_2p_6140,vdn_aux_2p_910,iql_2p_288,sad_aux_op_2p_2,vdn_op_2p_77112,sad_op_2p_2,sad_2p_2024,sad_aux_op_2p_25006,sad_aux_2p_20025,vdn_aux_2p_9111,vdn_aux_2p_911,vdn_aux_2p_9142,iql_op_2p_700,iql_2p_488,iql_op_2p_612,iql_2p_310,vdn_2p_7141,vdn_2p_710,vdn_op_2p_7771,iql_aux_2p_8141,iql_aux_2p_841,sad_2p_2019,sad_aux_2p_20018,sad_op_2p_2506,vdn_2p_725,sad_2p_2001,iql_op_2p_710,sad_aux_2p_20000
iql_op_2p_600,23.792,10.6296,6.89,10.7824,0.7384,8.0274,10.598,12.264,12.8452,9.8602,10.3172,6.0776,12.3866,7.0144,5.7938,9.645,9.4898,10.0106,4.7436,6.1894,12.035,6.6128,9.6594,8.0118,0.217,10.015,1.123,4.7506,11.3648,11.3392,7.5794,9.1598,11.7836,3.4866,12.472,10.1352,10.48,10.3678,0.329,3.8224,12.941,11.112,12.4394,5.9874,2.7298,11.0112,9.7058,5.8318,11.0524,5.9916,11.531,8.141,12.4008,4.9742,7.7808,6.0276,11.11,0.417,6.6466,12.47,3.9274,3.3694,11.799,9.4926,0.0176,1.3172,8.458,11.6704,0.23,11.034,11.5576,6.1188,13.206,11.5596,13.1118,12.448,11.4698,0.0456,2.6172,12.554,10.501,11.7896,12.5322,10.6196,13.5776,11.3042,11.4034,7.751,0.9602,12.0378,1.9636,11.9732,11.2622,0.4628,9.2002,0.0066,1.0396,2.9522,9.261,10.8566
iql_op_2p_618,10.7802,23.7726,19.3616,20.0318,2.102,17.8022,19.7006,20.8724,20.47,20.1556,19.75,17.9376,21.23,18.5066,5.0546,19.8436,16.7802,19.587,16.8094,4.7612,20.145,20.841,17.8852,18.6174,0.562,19.8986,1.2992,16.9502,18.6024,12.101,16.982,19.684,20.189,13.914,22.0888,19.9492,20.6388,20.5134,0.3836,19.005,21.9338,21.9626,19.4376,14.5522,14.4438,20.0584,19.3198,17.5886,19.9638,16.1582,20.365,20.691,21.232,13.4936,18.1444,15.098,19.1306,4.8132,20.861,20.3894,14.788,9.8974,19.803,18.997,0.1478,16.127,19.4226,21.0832,0.4142,20.1276,19.1748,7.5922,21.8802,19.1426,20.8812,20.6954,21.476,4.9978,5.4762,19.3736,20.1152,20.6962,20.1078,20.3566,22.2638,21.0148,21.0316,19.411,0.9624,21.2256,9.1574,19.0222,20.7612,13.3012,19.106,0.0092,3.2742,12.8224,18.5858,21.137
iql_aux_2p_804,6.3068,19.1546,23.9528,18.911,2.3564,16.9406,18.6624,18.2088,18.8112,19.756,16.9428,19.114,19.9024,17.0942,6.7666,15.4474,12.1578,17.4704,14.6424,4.1614,18.8322,18.6262,15.0558,17.3064,0.5254,17.7154,0.453,13.8118,19.1174,10.3556,13.1932,15.7978,19.4508,14.703,17.9492,18.2564,17.6952,18.6086,0.6696,16.2606,18.4728,17.5586,18.6498,11.9012,12.749,18.5246,19.535,18.2902,18.8198,19.4994,19.028,11.8024,19.3206,13.08,17.2532,14.3396,16.6184,6.2128,17.84,18.3068,14.0806,5.8924,19.1488,18.5046,0.5784,15.6716,19.1882,16.7516,0.2308,17.2816,18.8168,6.8886,17.7636,18.9888,15.596,17.9332,17.4888,5.076,2.6472,18.5604,17.0378,18.4822,18.9638,18.5294,17.9276,16.88,18.2656,17.4306,1.8176,17.5688,9.083,17.3926,19.0346,12.3774,16.2688,0.0176,4.649,12.753,15.3964,19.0492
sad_aux_op_2p_25018,11.2078,19.8102,18.7452,23.7094,1.3378,18.8674,21.7614,20.107,22.1462,21.8102,20.7118,17.401,21.9958,17.3714,4.1906,17.0672,10.1308,19.4156,15.9904,5.5184,21.8116,16.442,21.8808,20.9068,0.1086,20.9076,6.7244,15.0732,21.2222,9.9152,14.8622,15.8714,21.4808,16.105,18.9768,21.3302,20.6478,22.3014,0.249,15.273,19.5176,19.0922,20.4674,13.6854,14.8328,22.3794,22.656,16.7662,21.8668,15.9564,22.196,13.5214,21.6722,16.127,20.2512,16.6806,20.8552,3.369,17.7912,21.2808,12.1884,6.0272,21.712,21.4236,0.063,13.3772,21.8786,17.0972,0.282,23.0386,22.2786,5.9102,18.974,21.7264,18.2164,23.0218,19.0996,0.2606,12.6936,21.7828,21.9418,21.3756,22.0252,21.7414,18.6402,18.1204,18.9878,16.0028,0.8436,18.9872,5.4254,22.0382,21.7834,5.1246,22.4244,0.0,3.5,15.2666,13.5934,22.1926
sad_2p_9,1.0046,2.4104,3.0202,1.756,23.916,1.4316,1.873,2.6814,1.7788,1.1316,1.8924,1.6708,2.4866,1.4208,1.392,1.0064,0.6472,2.3592,0.21,0.21,2.0442,1.7754,0.9584,0.7636,0.001,1.5308,0.0042,0.2058,2.4716,0.8868,0.5198,0.6446,1.528,0.329,2.6148,1.226,1.0112,1.0876,0.0418,0.4408,1.7228,0.7206,1.949,0.095,0.44,1.6016,1.8104,1.7802,1.7134,1.8072,1.488,0.8132,1.1098,1.3814,1.3862,0.7774,2.6546,0.235,1.467,1.8392,0.3074,0.0808,1.7422,1.838,0.0028,0.3518,1.2076,1.064,0.162,0.6876,2.3142,8.13,1.7532,1.9658,1.163,1.3102,1.0536,0.065,0.0384,1.4616,1.189,1.5386,2.0516,1.9008,2.0994,1.018,2.785,1.8572,0.76,1.0986,0.4246,1.8368,2.309,0.2002,0.864,0.0014,0.1904,0.1174,1.7312,1.7744
iql_2p_7,7.477,17.3072,16.7242,18.6312,1.2904,23.8642,20.0386,19.421,18.0702,15.3716,15.7636,16.1546,17.3286,17.4196,4.0708,12.184,12.5292,18.187,10.2398,4.4156,17.2348,18.2572,18.1556,16.4038,0.4316,19.133,6.1962,9.74,18.0546,6.4266,10.5412,15.9504,18.6402,16.0818,17.2494,16.3498,18.4818,17.9354,0.3366,9.652,16.704,16.4366,17.4104,7.79,8.2072,17.99,16.4828,15.253,18.1324,15.3696,17.9054,13.6214,16.6894,17.3012,19.6988,17.6122,16.4996,2.355,17.2006,17.0806,17.881,7.9344,18.1648,18.1632,0.1358,8.163,16.704,14.5954,0.117,17.3506,17.4716,4.3668,16.0784,18.1292,15.545,18.7864,15.5976,0.0938,14.8118,15.9716,16.9606,18.8964,16.727,18.8738,16.3726,15.1794,21.2916,15.4384,0.6128,15.9446,6.3314,16.5902,18.8388,7.0534,18.522,0.0088,2.4948,17.8266,19.7192,17.67
vdn_aux_2p_971,11.0314,19.6874,18.606,21.8152,1.544,20.1042,24.2982,19.5072,21.6644,20.4566,17.7826,19.4148,21.6458,19.5696,6.9472,16.361,9.3944,20.2802,13.5244,6.2872,22.0474,17.0502,20.3516,20.709,0.7626,23.2722,4.5228,12.4334,21.2758,10.634,13.4828,16.8116,21.6926,15.8844,18.7306,21.898,19.3376,21.6388,1.402,12.021,19.1944,19.1878,21.3216,11.906,9.8182,22.549,20.9544,18.2934,22.6458,17.0506,22.044,17.2034,21.5578,17.0878,20.5272,16.924,18.5006,4.1642,16.7134,21.7238,14.2958,6.8778,22.5282,21.909,0.5362,9.9796,20.7792,16.8434,0.1496,20.5996,21.916,6.2998,20.0924,21.4872,17.3422,23.2422,17.9384,0.581,12.1912,20.8352,20.869,21.7756,21.6652,21.5504,18.6706,16.4252,20.1166,15.7534,1.6296,18.96,5.9278,21.8734,22.4786,5.712,21.6108,0.015,2.6848,15.3872,16.9584,21.9104
iql_op_2p_6110,12.3966,21.0334,18.314,20.2686,2.7226,19.8174,19.689,23.7048,20.2592,20.1374,20.1986,17.6662,20.6798,18.4124,5.0286,19.9604,15.5446,20.6426,18.8504,6.2756,19.5774,19.3618,18.7278,18.314,0.5914,19.3506,9.7012,18.694,18.4916,10.8118,18.0552,20.2756,19.2564,17.3634,21.2102,19.9416,19.3266,19.366,0.6284,15.1384,21.1774,20.3688,18.8722,14.7988,15.0222,19.9638,19.494,16.5152,19.866,14.872,19.7638,18.7104,20.7774,14.2798,19.5372,15.5966,20.132,3.6062,19.1914,19.6582,14.2608,8.9756,18.8506,18.7608,0.22,15.8476,20.0424,20.3204,0.2108,19.9644,18.8702,8.2842,21.2194,19.1626,20.963,20.463,21.6986,0.2216,12.7266,19.1824,19.4418,20.3324,20.06,20.2802,21.4278,18.4096,21.939,19.1768,0.8126,20.5004,7.3308,18.9208,20.1388,9.3136,19.2182,0.0076,3.0306,16.5926,18.3054,20.4624
iql_aux_2p_800,12.6954,20.6928,18.7912,22.0136,1.6818,18.2914,21.5498,20.0898,24.0232,21.5398,19.2684,18.5536,22.5558,19.162,6.9588,20.3314,10.1366,19.0202,16.3534,7.668,22.3006,17.3542,18.6692,21.8856,1.0282,21.8956,5.9194,16.3254,20.4912,13.7468,15.3602,16.811,21.0772,15.891,19.7094,21.4354,18.902,21.9162,1.3026,15.6346,20.4762,20.637,21.0966,13.1158,11.7012,20.8124,21.8056,16.7282,23.0772,16.3046,22.3144,16.435,21.9054,15.428,19.3886,13.9006,18.5968,5.7964,17.2966,21.6824,12.5784,8.47,21.3218,20.6132,0.74,12.354,21.7004,18.737,0.4378,21.488,21.8764,6.2894,19.782,21.1328,17.9144,22.633,19.8422,0.6338,10.739,22.1686,22.1102,21.8782,22.6252,22.7796,20.022,17.7668,19.9958,17.3998,1.1474,19.811,6.167,22.274,21.24,7.2914,19.8864,0.0296,3.3396,14.2506,16.3822,21.6064
sad_aux_op_2p_25000,9.6716,20.1152,19.9018,22.0594,1.1666,16.6746,20.331,19.8316,21.5004,23.405,19.8366,16.784,21.9496,20.6558,4.1526,18.931,13.5666,18.5574,20.5374,5.293,21.5618,17.656,18.4304,20.9852,0.1456,19.924,7.366,19.8228,21.3894,8.839,17.5644,17.5458,21.829,19.7884,19.755,21.88,18.9914,22.479,0.3774,17.2586,20.5518,19.766,20.022,14.2308,14.7964,21.4206,22.8324,15.4772,21.3456,15.496,21.6222,15.027,22.4174,12.0488,20.2072,14.3416,19.611,5.0794,18.6292,20.9818,10.7202,10.3024,21.1412,21.467,0.2192,17.0568,22.2146,18.4548,0.1934,22.5478,21.2612,6.1556,18.3432,21.2746,17.3848,21.4018,20.0648,0.305,7.5082,21.6546,21.8288,21.4302,21.7558,21.626,18.6122,17.8854,19.8142,17.8868,0.9178,20.4828,4.8098,20.1668,21.5716,12.823,21.4808,0.0,3.2594,17.6636,12.931,22.5556
