,iql_op_2p_600,iql_op_2p_618,iql_aux_2p_804,sad_aux_op_2p_25018,sad_2p_9,iql_2p_7,vdn_aux_2p_971,iql_op_2p_6110,iql_aux_2p_800,sad_aux_op_2p_25000,vdn_op_2p_77111,sad_aux_op_2p_1,vdn_aux_2p_940,sad_op_2p_2525,iql_op_2p_610,vdn_2p_7110,vdn_op_2p_7711,iql_2p_424,sad_op_2p_2518,vdn_2p_770,iql_aux_2p_8110,iql_op_2p_621,sad_aux_2p_10,sad_aux_2p_20006,vdn_op_2p_7742,sad_aux_op_2p_25025,sad_2p_2007,sad_op_2p_2500,iql_aux_2p_810,iql_2p_210,sad_2p_1,vdn_2p_740,iql_aux_2p_8111,sad_op_2p_2519,iql_op_2p_620,sad_aux_2p_20007,iql_2p_224,sad_aux_op_2p_25024,sad_2p_2006,sad_op_2p_2501,vdn_op_2p_7772,sad_aux_2p_1,iql_aux_2p_811,vdn_2p_726,sad_op_2p_1,vdn_aux_2p_9112,sad_aux_op_2p_25019,vdn_op_2p_729,vdn_aux_2p_970,sad_aux_op_2p_25001,vdn_aux_2p_9141,sad_op_2p_2524,vdn_aux_2p_941,vdn_op_2p_7712,vdn_op_2p_727,vdn_2p_7140,vdn_2p_711,vdn_op_2p_7741,iql_2p_510,iql_aux_2p_8140,vdn_2p_720,sad_2p_2018,iql_aux_2p_840,sad_aux_2p_20019,sad_op_2p_2507,sad_2p_2000,sad_aux_2p_20001,iql_2p_111,sad_2p_2025,sad_aux_op_2p_25007,sad_aux_2p_20024,iql_2p_4,iql_op_2p_6140,vdn_aux_2p_910,iql_2p_288,sad_aux_op_2p_2,vdn_op_2p_77112,sad_op_2p_2,sad_2p_2024,sad_aux_op_2p_25006,sad_aux_2p_20025,vdn_aux_2p_9111,vdn_aux_2p_911,vdn_aux_2p_9142,iql_op_2p_700,iql_2p_488,iql_op_2p_612,iql_2p_310,vdn_2p_7141,vdn_2p_710,vdn_op_2p_7771,iql_aux_2p_8141,iql_aux_2p_841,sad_2p_2019,sad_aux_2p_20018,sad_op_2p_2506,vdn_2p_725,sad_2p_2001,iql_op_2p_710,sad_aux_2p_20000
iql_op_2p_600,0.024746458332456384,0.14437229917127453,0.12390536711539173,0.14355504187592993,0.046881052547911084,0.1380268446643623,0.14302810632879118,0.13755806337688822,0.13829594134319342,0.13751004033160633,0.14093784740799753,0.12367762792033167,0.14400023641647258,0.1351584201150635,0.12190035402737763,0.1398494726482728,0.1277418458924091,0.14301782241385164,0.11766108875919855,0.11596441492113002,0.1359883634727619,0.12257053166238613,0.14605245060593813,0.13926841764018144,0.017329229642427845,0.14535031819710612,0.06622487599082387,0.11727540205857322,0.13454406041145034,0.14592528455343168,0.14026496044272782,0.13942758978050218,0.1435046835751363,0.10395635665027898,0.13811706339189234,0.1442016095333197,0.13924912926119143,0.13778049438146167,0.027974127332233256,0.10333678748635453,0.13966296502652378,0.14796962931628907,0.13787090167254293,0.12417442670695121,0.09318239314376937,0.1439593515962058,0.13835349389155305,0.11488769190822835,0.14186137898667134,0.11410269886378673,0.14329622395583214,0.14326557088149267,0.14057863234503315,0.11597062935071104,0.13689496072536783,0.12530445980889907,0.13756998219088348,0.034937404024912896,0.1232909635293682,0.14317143569860574,0.1018458926417752,0.10221559924003772,0.14358871752334862,0.13899981671930361,0.005587311339096828,0.06220447598043086,0.1362299790794963,0.13901551268833273,0.0213742836137261,0.1469323953388088,0.13886531765707374,0.11772840486475641,0.14121923664996916,0.1395361228069635,0.1383257754433352,0.14328244554026848,0.14094302959706803,0.011640624038254993,0.09350750147448063,0.14735310244443448,0.14182496183676552,0.13991807019824137,0.13637753712397066,0.14135494037351506,0.14030251476007122,0.14188957844746736,0.13534420448619142,0.12549948127382837,0.05290258209199245,0.1354996466120853,0.07751267643424525,0.1398082127487509,0.14276291616522827,0.03878818418023715,0.13968458752489482,0.0034570634937761847,0.0565678916700985,0.097017436742062,0.14312042411899148,0.13663969879943383
iql_op_2p_618,0.1433576562029388,0.02612772182950515,0.07673961876371292,0.0934224692030777,0.07248833837245823,0.11856059645598954,0.08728867010099306,0.07056304732648669,0.07668676548140493,0.08610759390437059,0.09222700255348212,0.09390644944837388,0.06567663206955728,0.11689341849736451,0.11450486351242901,0.09222357512046472,0.09207854034464273,0.09397620017855585,0.12459203155900463,0.1045311193473025,0.07470418328313347,0.06648205622572154,0.12494224342471204,0.106839521938279,0.024826421409458108,0.09014290658726286,0.07410921583716833,0.1223889863999208,0.09846533830744705,0.13313451768793846,0.1335955657946775,0.08817771146950912,0.08149758155920947,0.143149016063681,0.04266828930247849,0.087220891258918,0.08122060644934881,0.0746873756936204,0.02920976220375647,0.09197409961505468,0.053267283692713295,0.06436334553144359,0.09161801814053827,0.13655216963490546,0.1464385479032075,0.08304479446660097,0.10139263085648778,0.08462452367960484,0.08135218443287187,0.10315500255440836,0.07944831653345462,0.08919946076070191,0.06210342341610484,0.1304235860877932,0.11945639257904953,0.12831959787966918,0.09717771724011631,0.11583739099271873,0.05242609846250243,0.07861776852595091,0.12179676186171781,0.13489379024995923,0.08853405107640788,0.09663642274008284,0.018806143464304422,0.10974230815870421,0.09187819027386204,0.06723611791291939,0.033355774192784064,0.09210267991757895,0.09617426366757377,0.11767845950725221,0.060365963853814174,0.09795985426693936,0.07236779195194502,0.0767955973217215,0.058939670850794545,0.12467509387203202,0.13145298289502602,0.10137931055200562,0.080476989208096,0.06770805795472205,0.07994770685892122,0.08014416565165551,0.049076694183695785,0.06732752922839215,0.06270215536965217,0.07066948280552221,0.05160966235115281,0.054213475520390686,0.14071234859812412,0.09394052071390704,0.07327560925710547,0.13463081263960341,0.09793095935402654,0.0029228534003606817,0.10035478499802587,0.14685670447071866,0.11472492175634724,0.06401785844590555
iql_aux_2p_804,0.12027956913790472,0.08121810000240094,0.02890457458604087,0.08873001634170931,0.08256946050447465,0.10351026194537429,0.07991799076553414,0.08363588052983002,0.09097027488141388,0.07960410039690165,0.0998237728800109,0.0925701939071103,0.07188000311630488,0.11309370129233547,0.12082361063964277,0.11925370706187712,0.12695298276133568,0.1030102168136734,0.12072159892910628,0.0981490193939807,0.08016588196982553,0.08154173601291549,0.12700857164774354,0.11893470396818584,0.029573484204604636,0.1044203072586937,0.04232396720535541,0.12756737887093236,0.08580491505735553,0.12768519776387552,0.13824230449468064,0.11269437888377574,0.08486268833827973,0.12575372042210123,0.08197294597609629,0.10018448885930396,0.09852745501635572,0.10342089347902579,0.03948173207953268,0.1133235082760854,0.0850976617305082,0.1026393355785198,0.08443359516211542,0.1386104170399902,0.14444957528494157,0.09223209293949693,0.08626560728355188,0.08628555378509196,0.08498909101761237,0.09123902634289781,0.09097561871182851,0.14079158656681157,0.08280026043437302,0.11676609096822588,0.10445696698641024,0.12749295811141884,0.09705748960281221,0.12329697170652651,0.09363546336725205,0.10204496436375486,0.1299788472329248,0.11701078774198556,0.08736069889830324,0.09741168188672239,0.0339630783057131,0.12307863619653898,0.0798974101707934,0.10140916865846007,0.023699499403995856,0.11882886975815261,0.09496066318218296,0.11481654065508155,0.1001743630276729,0.09011889320225809,0.1161199242163032,0.1031914122008222,0.09571402672544917,0.12835156718949714,0.0953724616018691,0.09662044487581291,0.11523503908100173,0.09090267670426433,0.0746057498588413,0.09539888431213438,0.0919264469453704,0.10746608767420539,0.07361176079948094,0.10610634631349812,0.07346826558453656,0.09001829431843285,0.14360119149923511,0.10081434941515022,0.07780206017837829,0.14119785355309053,0.11341829355090827,0.0063069840653041135,0.11496068806335492,0.1338372078310064,0.1146926911707978,0.07188376640104496
sad_aux_op_2p_25018,0.14266703835154076,0.09779915741968333,0.0914884440352988,0.028363891270416334,0.06167218361627875,0.10554640424003082,0.07258218795269264,0.08844020691970367,0.061048874780785266,0.06788427794416023,0.0798272394111183,0.11258792031119502,0.06400903429985488,0.1322880660074823,0.10527361648580331,0.12504901771705365,0.13224741310135335,0.10336118869285511,0.1328041474051168,0.11475927974678127,0.06455277753900293,0.10752100817979712,0.07323741033105963,0.08576352809907017,0.012049946389922237,0.09283389708506262,0.14275380530129486,0.13591338547766368,0.06666757406715802,0.1420135267923447,0.14680518462234227,0.13598239741966603,0.07282805964736393,0.13370114060844807,0.09981609265043387,0.080224644542684,0.0852668225747858,0.06371084372381204,0.025165845902730948,0.11673463153666094,0.10171262482111056,0.11428604390738181,0.08180823582011777,0.14566099466912888,0.1377635976301432,0.04991323600008318,0.056111431990281624,0.09843895322482864,0.068693315191509,0.11038813255055997,0.0672065234928872,0.15170520231027015,0.07050212359922217,0.11210537096856689,0.09503820132978107,0.12494365421260896,0.06836699929059341,0.09760987552496929,0.09585656217494971,0.07752412703152484,0.1357280409053339,0.12969198908182417,0.07161823231552145,0.07007790384992975,0.013498377680299215,0.11818470303723744,0.055706125408252906,0.12774643021235463,0.025569028139528494,0.0480089784102932,0.06207508685455059,0.11451858884914708,0.10992226707996883,0.057226467722549496,0.11410589032999129,0.049197001453340626,0.10437248664279297,0.031538825723225646,0.1481586440542704,0.07857127230737708,0.06622509004901389,0.07106915595390169,0.054986116356767735,0.07215279071525924,0.11020303440468415,0.11514434752952486,0.09717906272443669,0.11020307814212812,0.05204832185575247,0.09991419935124338,0.12108743521934882,0.0606437808188111,0.06958115325287444,0.12180925649555539,0.0529533467119879,0.0,0.1006645915900919,0.13761070048510035,0.1456758569152761,0.05403388795931679
sad_2p_9,0.055203947032798295,0.07714346613939511,0.09168139610629847,0.07019695719901255,0.026483745958606385,0.06216320686708498,0.07030458164301953,0.08076817942729672,0.07002495349516484,0.05641397245363953,0.06952470386848117,0.0705186888136755,0.08095210984279533,0.06476747232986631,0.0661052736171631,0.05076210996402731,0.03870899678369358,0.07766360197673039,0.024759240699181385,0.02541928401824095,0.07096907264435685,0.06248096484530308,0.05292384989775403,0.047057656210227894,0.0009998999949994997,0.06523043976549597,0.004199579978997899,0.024007691934044804,0.07798768292493373,0.051572057860822265,0.03944821405336368,0.04108695861219226,0.06858223676725629,0.031023729627496433,0.07700652045119297,0.05785105703442245,0.05139002735940116,0.05752343216464052,0.01058350376765653,0.032539500180549796,0.06779964625276447,0.045605560275036636,0.0732327781802657,0.01617142541645603,0.03545927241216323,0.06683364039164708,0.06832049742207678,0.06615480021888057,0.06868429287690163,0.07002460733199437,0.06713129821476714,0.04902469940754354,0.05794504976268464,0.05636866867329758,0.0626773476784077,0.04667386686358866,0.0763828499599223,0.02550049019136691,0.06049811732607883,0.07230953375593013,0.028394736272767174,0.013575502642628006,0.0716711087677594,0.07124627148139051,0.0015486871859739782,0.031266713162723066,0.05749313392049523,0.05408124258927488,0.021926039314021126,0.04604694613109538,0.07919833124504581,0.1328851383714522,0.06930034597316236,0.07177886925829914,0.05416351354925195,0.061460191929410705,0.0542201568422667,0.014734822699985228,0.010108664006682585,0.06887746429711243,0.0587450065963057,0.06547382689288904,0.07223480800832795,0.07200411010491,0.07237447013968393,0.05382281300712551,0.07888925782386345,0.06536361091616649,0.050894400477852174,0.05459098467695925,0.03292754117756137,0.06956114685656067,0.08037054062279286,0.024586662888647574,0.04905079815864365,0.0013998599929992996,0.023481685799788737,0.017197774507185515,0.06329762485275416,0.06679985724535645
iql_2p_7,0.13601108116620497,0.12464672331032212,0.10729560509172778,0.1115462115537771,0.058430929891625044,0.022947585319592997,0.08737357728741567,0.10774837260952018,0.1052320026987988,0.13636503469731528,0.13847780691504324,0.11731282865910274,0.12700411177595788,0.13025569917665789,0.10442048396746685,0.14854288539004484,0.12704703645500748,0.12112838725913921,0.1525358292074357,0.10348843088964099,0.1126233270330796,0.08607885705560919,0.12724070782575833,0.12920181543616172,0.02678701715383779,0.1036965872148163,0.13549679373328358,0.1487499915966384,0.10438967270760072,0.12861027364872527,0.15735838240144695,0.13773216025315219,0.10767204275948328,0.1377849837681886,0.12789683314296724,0.13250859591739697,0.11574426012550254,0.1067936579015814,0.029447242451543742,0.1372685659573961,0.13331765374473104,0.13780448500683856,0.11945373316895541,0.1413415013363025,0.14495093525741734,0.117644124375168,0.12658570548051623,0.10491195451424971,0.10772007263272709,0.10311643500431927,0.11743462082367363,0.14955110299827282,0.13070342584645592,0.10895767853620965,0.10357188668745973,0.11682141170179378,0.13319999987987988,0.08402544257544854,0.10817537579319982,0.1250351179789102,0.09638261150228292,0.13253384219888895,0.11241462623698041,0.11182679979325172,0.01723576722980442,0.13390506413127176,0.12494029294026808,0.14379436625960004,0.017727442003853795,0.12508819260026105,0.11040506640548703,0.10343989342608585,0.13801583491759198,0.11457722929098957,0.14181902199634575,0.10656901523426028,0.14000376726359903,0.018873269775001894,0.14334962906125706,0.1355961602996191,0.12135620926841774,0.10124353514175609,0.1211960981220105,0.09886381902394828,0.13813918288450963,0.1434902196248929,0.07318001016671151,0.11896840373813544,0.04160979730784567,0.13118744668603013,0.12698564803945364,0.1249501212164278,0.11189389130779212,0.13071201049635797,0.10772884107795831,0.004077316764736337,0.08662698535675821,0.12878271036129033,0.10498680999058882,0.11107898090998133
vdn_aux_2p_971,0.14275546507226963,0.08859264217755332,0.08109890751421994,0.07132439829399194,0.06277716782397881,0.08447217572668529,0.01864230007268416,0.08680500925637874,0.06366753119133801,0.08091491387871583,0.10932166961769291,0.10069234425714797,0.0681650091469223,0.10401072621609754,0.12109435342739977,0.12161470223620167,0.12855726244751792,0.09174583146933707,0.1394177927238844,0.11538692834112536,0.05831972777714245,0.09023001713398929,0.10465904398569671,0.08891379982882297,0.035834735215988414,0.04792349561540769,0.12218500739452448,0.13816248726770955,0.06374030806326558,0.14082559710507175,0.1487390360060196,0.12328869002467338,0.06537722117067993,0.12941702874042502,0.08978287547188495,0.07245853434896402,0.09764386948498098,0.06318786997517799,0.05932890695099649,0.12955968431576234,0.09639108738882449,0.10956288711055401,0.0679402287897237,0.14606817860163793,0.14615385643902798,0.05807443327317108,0.07761020633911496,0.09258392564587008,0.049605528643488925,0.09953174331840069,0.06486364775434697,0.1307627075583861,0.06770326308236553,0.10408659006807745,0.08265937352774941,0.12569472860864134,0.10332782746191851,0.10202552461026601,0.09631787003458911,0.06955158310204015,0.12813828651890113,0.1323906848384734,0.05791511850976392,0.06729029499117982,0.040262860206398646,0.12883507584505083,0.06771240264530569,0.12166451942945404,0.016463413011887907,0.08810911398941655,0.062445086275863204,0.11346922046088093,0.09340306444651589,0.06054194605395503,0.11771550378773392,0.047242225095776344,0.10778701725161523,0.0481593999132049,0.15011744905906177,0.08869818595664739,0.07848852017970526,0.05778658086441869,0.0601882197111694,0.06514945869306973,0.10647863226018636,0.12257471595724788,0.06775692501877575,0.1052974723723224,0.0693691629472347,0.09556945118603538,0.12334162894983997,0.06697965726995025,0.05127951255618563,0.1216735435499435,0.07235927495490815,0.0041466854233230665,0.08921821446319132,0.13370570381251504,0.12388984578245305,0.0581782980844232
iql_op_2p_6110,0.137335580560902,0.06654364648860174,0.08254090379926791,0.08583478786599288,0.08084460308517817,0.10112888532956349,0.08383922590291491,0.025495320982486178,0.07651616216199032,0.08417567491858916,0.09564889757859209,0.0962463272649923,0.07320829455737922,0.1216985835907715,0.1087402244250029,0.094425454025914,0.10414529354704416,0.08997562474359375,0.11342100320487382,0.11198039528417464,0.08148522472203165,0.06540902194651745,0.11170721298107834,0.1046470295803947,0.02702904378626813,0.09712268492993796,0.15104881234885628,0.11151391303330718,0.0983856996112748,0.1368868005031895,0.12497563999436051,0.0944788279351517,0.09339192581802776,0.12348646925068348,0.07509356291986684,0.0869595186739209,0.10049789295303656,0.08365936169969264,0.03680085172927387,0.11124967005793769,0.08053363178200769,0.0925211181947127,0.09500764933414571,0.1395452031135431,0.13709070512620466,0.08203229798073439,0.0941921058263377,0.08026975639678995,0.07567356737989825,0.10323373092163239,0.087130717384858,0.11135001736865603,0.07213078294320671,0.12775344375788858,0.10685337258130882,0.1299118689265919,0.08819589106075179,0.09691926698030685,0.0733249835185798,0.08721854477116664,0.12694974073230714,0.14076121954572574,0.0962894382993275,0.09677601289575842,0.02068235963327202,0.10245308608333864,0.07885962495472572,0.09409329820980876,0.021553483987513482,0.08963964819208073,0.093386243055388,0.11764474519501499,0.07114107623588499,0.09177773285497959,0.08663536344934439,0.07779849741479586,0.07477935281880954,0.028132875572895143,0.1383105581219308,0.10075071239450369,0.08153945395941771,0.07466928450172801,0.08011641529674177,0.07787437057209515,0.07598471841100682,0.11712747571769827,0.057518829960283444,0.06996562264426723,0.04609529529138521,0.0799839981996399,0.1299124099999688,0.09139641936093557,0.08386028208872183,0.13777057381022986,0.09321693919025663,0.003296732928218481,0.09287891433474015,0.13193621583174195,0.12228469310588305,0.06851304436382899
iql_aux_2p_800,0.13906791063361812,0.0744919165547511,0.09047961379227919,0.06427785783611646,0.06696469033752042,0.10099553063378597,0.06695777768116262,0.08130748546105702,0.024601877001562297,0.06665615644484761,0.09350033309031577,0.10458252917194152,0.05248254254511684,0.11028196226038053,0.11927103802684036,0.09054808009008253,0.1275811431521132,0.10704596392204611,0.12627629107635369,0.12145960316088637,0.05208884648367632,0.09586985173661217,0.1153746691089513,0.07478196659623228,0.03910551050683266,0.07240428252527609,0.13438221879400564,0.12608910725356098,0.06933617030093311,0.13079074107902286,0.13796960242024328,0.12629717257326073,0.06851224731389272,0.1325318972926895,0.08302981589766413,0.06857262841688366,0.10620545748689189,0.06279932732123808,0.0547361548521633,0.11179578063594349,0.08265861547352459,0.09434408407526144,0.07299981978059945,0.14431464954050924,0.14744322199409507,0.07114380681408607,0.06623021763515503,0.10006390434117589,0.04401826929809939,0.10607602824389685,0.05420101962140565,0.1367834602574449,0.0582320372990676,0.11662556838017982,0.10039441223494462,0.13794079863477662,0.09368567634382535,0.1141063951231481,0.0952867550502167,0.06565962266111494,0.13359090795409692,0.1350628742475148,0.07059723048392195,0.07191882334966278,0.042133122362341006,0.12544312177237937,0.06670748060000467,0.10883145776842282,0.034989516029805275,0.07225158268162711,0.06658757097236691,0.11564121033610812,0.09538770990017528,0.0653225292835481,0.10589341116424571,0.057191452158517536,0.09008895510549558,0.04896304230743838,0.14564894712973384,0.06356567318923005,0.06287774798766253,0.059398593855410416,0.0498997494182085,0.05364293772716031,0.08962847315446135,0.11358416946036097,0.0766913063651937,0.09267789376113378,0.057102842731338685,0.0844697330408946,0.12470469999162019,0.06189818091026585,0.06796175395029178,0.12938445504773746,0.08399225564300557,0.006851625208663999,0.09617262795619136,0.13655606880691898,0.12939035756964273,0.055493925865809854
sad_aux_op_2p_25000,0.13651179688217427,0.08886701183228791,0.07682311730202049,0.06272395338305774,0.05668940719393703,0.12641733650097203,0.08388067596294155,0.0885822120292782,0.06625345249871889,0.03262077558857238,0.09187850721469085,0.10903260429798052,0.05376069166221729,0.09224979822200155,0.10193342262477013,0.09991300115600571,0.121674618914546,0.11018593852211814,0.0788515075822904,0.10967000592687136,0.060184019074834144,0.09204657951276625,0.1185417697185258,0.07543285883486055,0.0159449091562166,0.09761989961068389,0.1442581325263848,0.08787923549963324,0.06682180428572697,0.13552053645112241,0.12301305023451779,0.12135032126863117,0.05877237276135786,0.094224864489157,0.08671490644635442,0.05746303159423456,0.1074870466986604,0.05760826156030052,0.03066910249746477,0.08925617742206979,0.08101322948753495,0.09991720972885502,0.07956521350439526,0.14557962176073955,0.13553696694260203,0.06389694146044865,0.05104725308966193,0.1037730987876916,0.0601467549249334,0.11272975117510017,0.07287560244690948,0.1417458789524408,0.04675805222632781,0.13121952488863842,0.09500049279872184,0.135716844525652,0.08686274114947098,0.11162427660683852,0.08312317048813765,0.07408949825717542,0.1370038772881994,0.14156648914202824,0.07500888288729542,0.05907437854095461,0.024389962525596463,0.07728696366140929,0.04670705908104256,0.10857141148571295,0.025015181150653293,0.05597091237419665,0.07896147739246018,0.1120837085753322,0.113060173146869,0.06050189226792828,0.12039362853573274,0.07677546061079672,0.0884490824825221,0.034117370942087555,0.14214523049332328,0.06722811739146055,0.056963656062440374,0.05780990911599844,0.05030102655016098,0.06595653720443485,0.1059628342014312,0.11464821572096097,0.08095341667897656,0.09032207455544851,0.05330486499373204,0.0697763629891957,0.11491773053798095,0.08367625440947987,0.06072441591320579,0.12388742551203491,0.05709716518357106,0.0,0.09525220379602772,0.11844664202922765,0.1449202808443318,0.03440845430995121
