,iql_2p_5,iql_2p_616,iql_2p_210,iql_2p_700,iql_2p_614,iql_2p_11,iql_2p_6,iql_2p_113,iql_2p_612,iql_2p_618
iql_2p_5,0.06922212218648023,0.1111617254633986,0.1258988292241036,0.10968813795483995,0.09852164253604383,0.14271896947497903,0.10629978724343712,0.12380991159030848,0.09213070715022217,0.09581711642498952
iql_2p_616,0.11107305613874141,0.028003019265786324,0.14306605746996734,0.04154319198135839,0.08620949367674073,0.1394475197054433,0.13057376152964267,0.14385074484339663,0.07417170220508627,0.047529964527653505
iql_2p_210,0.12646327732587037,0.1437584613161952,0.023353640230165403,0.139039389383009,0.12860156985044932,0.12973964004883007,0.11767748437148035,0.11837763812477423,0.1261535125472137,0.13422818768053155
iql_2p_700,0.11298576813032692,0.03915501245051519,0.13921936506104315,0.022776193711856248,0.0828400166103315,0.13358453802742293,0.1301829403262962,0.14558735107144438,0.08040627856081888,0.05163889231964605
iql_2p_614,0.0997857557369788,0.08760295867149694,0.12812612757747732,0.0858367752889168,0.024072657352274176,0.13327157161225345,0.10731297774267565,0.13497247589045702,0.03766328620818954,0.06758165378266501
iql_2p_11,0.14325415844574985,0.13997937079441383,0.1327029522203632,0.13257379529907107,0.1340678626666361,0.02325703265681157,0.12492006631442362,0.12604878341340706,0.12533777263060006,0.13164530864409865
iql_2p_6,0.10447071930450176,0.13236404817018857,0.11645674218352496,0.13050374888101873,0.10823867833635072,0.12282262589604571,0.026368798379903472,0.12747240818310446,0.10581770755407621,0.1109267860888433
iql_2p_113,0.11717592759607241,0.14552596788202443,0.1215579952450681,0.14555150137322528,0.13411999639129132,0.12448942043402723,0.1276730793863765,0.030941512697345613,0.13381874233454744,0.14535509898176946
iql_2p_612,0.08931875820901229,0.08016086606318572,0.12528241756926628,0.07739669651864994,0.038148890521219614,0.12774487446469232,0.10229021849619836,0.13321907103714542,0.02848217744485137,0.06230728233521343
iql_2p_618,0.09365211262966788,0.04661558460429301,0.13311965817263804,0.049076694183695785,0.06864423524229839,0.13204235817342858,0.11063766270127003,0.14569037631909665,0.06256220398930971,0.02612772182950515
